train_pred,train_truth
1.2789895995520055,1.22
1.5842457714024931,1.46
1.8603101987973787,1.98
1.229600940772798,1.32
1.7396585794049315,2.07
1.300529274798464,1.39
1.4283966349321418,1.38
1.5227259799139574,1.42
0.7452492657466792,0.56
1.4412909396342002,1.14
1.2270366609445773,1.17
1.7376911420724355,1.63
1.5827960980823264,1.66
1.568878272024449,1.45
1.0133042339002714,1.04
0.9068994635599665,0.88
1.73061842500465,1.74
1.562100064358674,1.61
1.9026521319756284,1.87
1.9878793446114287,1.99
1.903550211165566,1.89
1.5891905812895857,1.49
1.2059588839765638,1.43
1.7379196069668978,1.76
1.4707115344936028,1.55
1.5728399332147092,1.28
1.5752796438755468,1.66
1.3816802686196752,1.46
1.2874613007879816,1.04
1.2205815677298233,1.34
1.7415951660368592,1.7
1.4412909396342002,1.14
1.8854285579291172,1.9
1.7896074816817418,1.74
1.1101781186298467,1.28
1.3894726631697267,1.48
1.3621984551427886,1.52
1.9159041606471874,1.87
1.3664577615563758,1.19
1.7773026661598124,1.82
1.467349553364329,1.81
1.0621728296391666,1.12
1.286718676565215,1.29
1.1995443648775108,1.39
1.838365363131743,1.83
1.6728334330837242,1.65
1.6710196492495015,1.64
1.7070813836180605,1.55
1.7869085866841488,1.79
1.2264464713516645,1.23
2.0748078977921978,2.12
1.8734216614975594,1.83
1.2512177581666037,1.23
0.7479514620499685,0.74
1.5614097435609438,1.58
1.4356680852361023,1.44
1.077646568941418,1.15
1.6419901737826876,1.73
1.6595473275519907,1.64
1.8318548153620213,1.8
1.8021603299421258,1.89
1.3664577615563758,1.19
1.5274789714021608,1.51
1.6857951879501343,1.74
1.654480179073289,1.75
1.5846587919513695,1.7
1.9033211737405509,1.94
1.430389832414221,1.63
1.0776465685339645,1.15
1.8944042911170982,1.87
1.8077885777456686,1.78
1.217870780848898,1.29
1.6947291422984563,1.69
1.0952620640164241,1.19
1.1552330034319311,0.91
1.1625565032009035,1.2
1.6997595102293417,1.68
1.7438195319264196,1.7
1.1999978700769134,1.13
1.3736785518703982,1.57
1.4979320037527941,1.5
1.8258747779182158,1.82
1.0952620640164241,1.19
1.0133042339002714,1.04
1.843052382057067,1.87
1.1999978700769134,1.13
1.3616112129529938,1.34
1.2979765861527994,1.33
1.3634814069373533,1.51
1.2186428704299033,1.25
1.8382960195303895,1.87
0.9914188564289361,1.17
1.062172829580959,1.12
1.238158162101172,1.17
1.27783246623585,1.38
1.238158162101172,1.17
1.73940037318971,1.74
1.7518927046912722,1.79
1.676463665731717,1.57
1.335894405900035,1.35
0.7452492658630945,0.56
1.1107585580321029,0.88
1.1832698450307362,1.12
1.5999509238172323,1.57
2.4894766872166656,2.54
1.2172387483296916,1.09
1.1107585580321029,0.88
1.3907077705371194,1.34
1.7339245349285193,1.73
0.9914188564289361,1.17
1.2874613007879816,1.04
1.4316000289400108,1.58
1.391979704843834,1.45
1.2172387483296916,1.09
1.7620826049242169,1.96
1.8382661580690183,1.85
1.8609146279050037,1.85
1.2824240099289455,1.38
1.2185070286504924,1.27
1.581893291149754,1.66
1.3684788512764499,1.54
1.5215847301878966,1.54
1.3606069294619374,1.3
1.2270366609445773,1.17
1.5863489214680158,1.73
1.6692378467996605,1.69
1.1832698450307362,1.12
0.9068994635599665,0.88
1.1552330034319311,0.91
1.3296915365499444,1.2
1.7417422458529472,1.74
1.3702396072330885,1.3
1.8382794520584866,1.82
1.3445222259033471,1.3
0.7479514622245915,0.74
