compound,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,label
MoN,42.0,95.94,1.54,1.9,2.09,9.4,7.092,16.17,0.745,2.16,5.0,6.0,10.28,20.0,139.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,12.5,0.56
MoN,42.0,95.94,1.54,1.9,2.09,9.4,7.092,16.17,0.745,2.16,5.0,6.0,10.28,20.0,139.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,25.0,0.69
MoN,42.0,95.94,1.54,1.9,2.09,9.4,7.092,16.17,0.745,2.16,5.0,6.0,10.28,20.0,139.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,62.5,0.88
MoN,42.0,95.94,1.54,1.9,2.09,9.4,7.092,16.17,0.745,2.16,5.0,6.0,10.28,20.0,139.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,100.0,1.04
MoN,42.0,95.94,1.54,1.9,2.09,9.4,7.092,16.17,0.745,2.16,5.0,6.0,10.28,20.0,139.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,125.0,1.15
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,10.0,1.17
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,20.0,1.19
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,40.0,1.2
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,60.0,1.23
Mo2N,84.0,191.88,3.08,3.8,4.18,18.8,14.184,32.34,1.49,4.32,10.0,12.0,20.56,40.0,278.0,7.0,14.0067,0.71,0.56,1.55,17.3,14.534,29.6,0.07,3.04,3.0,5.0,0.001251,80.0,1.26
