compound,feat_1,feat_11,feat_24,feat_29,label,,,,,,,,,,label
Co0.5Mo4.5O8,202.5,26,11.68,50,0.94,,118184.2351,3072790.112,6.5901E-05,,,,,3.99992E-05,1.28
CoMo4.0O8,195,27,11.68,50,0.94,,118184.2351,3190974.347,6.11099E-05,,,,,4.00388E-05,0.68
Co2.5Mo2.5O8,172.5,30,11.68,50,0.94,,118184.2351,3545527.052,4.86529E-05,,,,,4.00388E-05,0.68
Co0.5Mo4.5O9,202.5,26,13.14,50,0.94,,508896.5331,13231309.86,1.53046E-05,,,,,4.00388E-05,0.7
CoMo4.0O9,195,27,13.14,50,0.94,,508896.5331,13740206.39,1.41919E-05,,,,,4.00388E-05,1.16
Co2.5Mo2.5O9,172.5,30,13.14,50,0.94,,508896.5331,15266895.99,1.1299E-05,,,,,4.00505E-05,0.75
Co0.6Mo5.4O7,243,31.2,10.22,50,0.94,,27446.66648,856335.9943,0.000283767,,,,,4.00505E-05,0.8
Co1.2Mo4.8O7,234,32.4,10.22,50,0.94,,27446.66648,889271.9941,0.000263137,,,,,4.00505E-05,0.94
Co3.0Mo3.0O7,207,36,10.22,50,0.94,,27446.66648,988079.9934,0.000209497,,,,,4.00505E-05,0.94
Co0.7Mo6.3O8,283.5,36.4,11.68,50,0.94,,118184.2351,4301906.156,6.5901E-05,,,,,4.00505E-05,0.97
Co1.4Mo5.6O8,273,37.8,11.68,50,0.94,,118184.2351,4467364.086,6.11099E-05,,,,,4.00505E-05,1.15
Co3.5Mo3.5O8,241.5,42,11.68,50,0.94,,118184.2351,4963737.873,4.86529E-05,,,,,4.00505E-05,1.28
Co0.7Mo6.3O9,283.5,36.4,13.14,50,0.94,,508896.5331,18523833.8,1.53046E-05,,,,,4.00505E-05,0.73
Co1.4Mo5.6O9,273,37.8,13.14,50,0.94,,508896.5331,19236288.95,1.41919E-05,,,,,4.00995E-05,0.7
Co3.5Mo3.5O9,241.5,42,13.14,50,0.94,,508896.5331,21373654.39,1.1299E-05,,,,,4.00995E-05,0.68
Co0.7Mo6.3O10,283.5,36.4,14.6,50,0.94,,2191287.876,79762878.67,3.55428E-06,,,,,4.00995E-05,0.68
Co1.4Mo5.6O10,273,37.8,14.6,50,0.94,,2191287.876,82830681.7,3.29588E-06,,,,,4.00995E-05,1.25
Co3.5Mo3.5O10,241.5,42,14.6,50,0.94,,2191287.876,92034090.78,2.62403E-06,,,,,4.02365E-05,0.94
Co0.8Mo7.2O9,324,41.6,13.14,50,0.94,,508896.5331,21170095.78,1.53046E-05,,,,,4.02365E-05,1.15
Co1.6Mo6.4O9,312,43.2,13.14,50,0.94,,508896.5331,21984330.23,1.41919E-05,,,,,4.02365E-05,0.94
Co4.0Mo4.0O9,276,48,13.14,50,0.94,,508896.5331,24427033.59,1.1299E-05,,,,,4.02365E-05,0.97
Co0.9Mo8.1O10,364.5,46.8,14.6,50,0.94,,2191287.876,102552272.6,3.55428E-06,,,,,4.03678E-05,0.68
Co0.5Mo4.5O6,202.5,26,8.76,50,0.94,,6374.111578,165726.901,0.00122189,,,,,4.03678E-05,0.68
Mn3.5Mo3.5O9,234.5,35,13.14,50,0.94,,508896.5331,17811378.66,1.31657E-05,,,,,4.03678E-05,0.7
Co2.0Mo2.0O9,138,24,13.14,50,0.94,,508896.5331,12213516.79,1.1299E-05,,,,,4.03678E-05,1.23
Co0.4Mo3.6O9,162,20.8,13.14,50,0.94,,508896.5331,10585047.89,1.53046E-05,,,,,4.0391E-05,0.76
NiIr4.0O7,336,36,10.22,50,0.94,,27446.66648,988079.9934,0.000340053,,,,,4.0391E-05,0.84
Ni2.5Ir2.5O7,262.5,37.5,10.22,50,0.94,,27446.66648,1029249.993,0.00025504,,,,,4.0391E-05,1.12
Ni0.5Ir4.5O8,360.5,35.5,11.68,50,0.94,,118184.2351,4195540.345,8.59246E-05,,,,,4.0391E-05,1.16
NiIr4.0O8,336,36,11.68,50,0.94,,118184.2351,4254632.462,7.89727E-05,,,,,4.06146E-05,0.7
Cr0.9Pt8.1O10,653.4,76.5,14.6,50,0.94,,2191287.876,167633522.5,3.89779E-06,,,,,4.06146E-05,0.94
Cr4.0Pt4.0O9,408,52,13.14,50,0.94,,508896.5331,26462619.72,1.5418E-05,,,,,4.06146E-05,0.94
Cr1.6Pt6.4O9,537.6,64,13.14,50,0.94,,508896.5331,32569378.12,1.65063E-05,,,,,4.06146E-05,0.94
Cr0.8Pt7.2O9,580.8,68,13.14,50,0.94,,508896.5331,34604964.25,1.67837E-05,,,,,4.06146E-05,1.06
Cr3.5Pt3.5O10,357,45.5,14.6,50,0.94,,2191287.876,99703598.34,3.58061E-06,,,,,4.06146E-05,1.12
Cr1.4Pt5.6O10,470.4,56,14.6,50,0.94,,2191287.876,122712121,3.83336E-06,,,,,4.06146E-05,1.15
Cr0.7Pt6.3O10,508.2,59.5,14.6,50,0.94,,2191287.876,130381628.6,3.89779E-06,,,,,4.06146E-05,1.3
Cr3.5Pt3.5O9,357,45.5,13.14,50,0.94,,508896.5331,23154792.26,1.5418E-05,,,,,4.06146E-05,0.68
Cr1.4Pt5.6O9,470.4,56,13.14,50,0.94,,508896.5331,28498205.85,1.65063E-05,,,,,4.06146E-05,0.68
Cr0.7Pt6.3O9,508.2,59.5,13.14,50,0.94,,508896.5331,30279343.72,1.67837E-05,,,,,4.06146E-05,0.85
Cr3.5Pt3.5O8,357,45.5,11.68,50,0.94,,118184.2351,5377382.696,6.63892E-05,,,,,4.06146E-05,0.94
Cr1.4Pt5.6O8,470.4,56,11.68,50,0.94,,118184.2351,6618317.164,7.10755E-05,,,,,4.06146E-05,0.94
Ni2.5Ir2.5O8,262.5,37.5,11.68,50,0.94,,118184.2351,4431908.815,5.92296E-05,,,,,4.06146E-05,0.94
Ni0.5Ir4.5O9,360.5,35.5,13.14,50,0.94,,508896.5331,18065826.92,1.99548E-05,,,,,4.06146E-05,1.01
NiIr4.0O9,336,36,13.14,50,0.94,,508896.5331,18320275.19,1.83403E-05,,,,,4.06146E-05,1.03
Ni2.5Ir2.5O9,262.5,37.5,13.14,50,0.94,,508896.5331,19083619.99,1.37553E-05,,,,,4.06703E-05,0.75
Ni0.6Ir5.4O7,432.6,42.6,10.22,50,0.94,,27446.66648,1169227.992,0.000369988,,,,,4.06703E-05,0.75
Co0.4Mo3.6O5,162,20.8,7.3,50,0.94,,1480.299928,30790.23849,0.005261408,,,,,4.06703E-05,0.79
Co0.8Mo3.2O5,156,21.6,7.3,50,0.94,,1480.299928,31974.47844,0.004878891,,,,,4.06703E-05,0.94
Co2.0Mo2.0O5,138,24,7.3,50,0.94,,1480.299928,35527.19826,0.003884348,,,,,4.06703E-05,1.11
Co0.4Mo3.6O7,162,20.8,10.22,50,0.94,,27446.66648,570890.6629,0.000283767,,,,,4.06703E-05,0.75
Co0.8Mo3.2O7,156,21.6,10.22,50,0.94,,27446.66648,592847.9961,0.000263137,,,,,4.07036E-05,0.68
Co2.0Mo2.0O7,138,24,10.22,50,0.94,,27446.66648,658719.9956,0.000209497,,,,,4.07036E-05,0.7
Co0.8Mo3.2O9,156,21.6,13.14,50,0.94,,508896.5331,10992165.11,1.41919E-05,,,,,4.07036E-05,0.68
Fe0.8Pt3.2O5,270.4,33.6,7.3,50,0.94,,1480.299928,49738.07757,0.005436479,,,,,4.07036E-05,1.23
Fe2.0Pt2.0O5,208,30,7.3,50,0.94,,1480.299928,44408.99783,0.004683736,,,,,4.07684E-05,0.97
Fe0.4Pt3.6O7,291.2,34.8,10.22,50,0.94,,27446.66648,955143.9936,0.000304875,,,,,4.07684E-05,0.94
Co0.7Zr6.3O8,270.9,17.5,11.68,50,0.94,,118184.2351,2068224.114,0.000130982,,,,,4.07684E-05,1.2
Co1.4Zr5.6O8,261.8,21,11.68,50,0.94,,118184.2351,2481868.936,0.000105485,,,,,4.07684E-05,0.94
Co3.5Zr3.5O8,234.5,31.5,11.68,50,0.94,,118184.2351,3722803.405,6.29902E-05,,,,,4.08026E-05,0.68
Co0.7Zr6.3O9,270.9,17.5,13.14,50,0.94,,508896.5331,8905689.329,3.04188E-05,,,,,4.08026E-05,0.7
Co1.4Zr5.6O9,261.8,21,13.14,50,0.94,,508896.5331,10686827.19,2.44974E-05,,,,,4.08026E-05,1.25
Co3.5Zr3.5O9,234.5,31.5,13.14,50,0.94,,508896.5331,16030240.79,1.46286E-05,,,,,4.08026E-05,0.68
Co0.7Zr6.3O10,270.9,17.5,14.6,50,0.94,,2191287.876,38347537.82,7.06434E-06,,,,,4.10051E-05,1.06
Co1.4Zr5.6O10,261.8,21,14.6,50,0.94,,2191287.876,46017045.39,5.6892E-06,,,,,4.10051E-05,1.11
Co3.5Zr3.5O10,234.5,31.5,14.6,50,0.94,,2191287.876,69025568.08,3.39729E-06,,,,,4.10051E-05,1.14
Co0.8Zr7.2O9,309.6,20,13.14,50,0.94,,508896.5331,10177930.66,3.04188E-05,,,,,4.10051E-05,1.14
Co1.6Zr6.4O9,299.2,24,13.14,50,0.94,,508896.5331,12213516.79,2.44974E-05,,,,,4.10051E-05,0.68
Co4.0Zr4.0O9,268,36,13.14,50,0.94,,508896.5331,18320275.19,1.46286E-05,,,,,4.10051E-05,0.68
Co3.0Zr3.0O7,201,27,10.22,50,0.94,,27446.66648,741059.9951,0.000271233,,,,,4.10051E-05,0.77
Co0.9Zr8.1O10,348.3,22.5,14.6,50,0.94,,2191287.876,49303977.2,7.06434E-06,,,,,4.10051E-05,0.78
Co4.5Zr4.5O10,301.5,40.5,14.6,50,0.94,,2191287.876,88747158.96,3.39729E-06,,,,,4.10466E-05,0.68
Cr0.4Au3.6O5,294,37.6,7.3,50,0.94,,1480.299928,55659.27728,0.005282138,,,,,4.10466E-05,1.23
Co0.4Ir3.6O5,288,28,7.3,50,0.94,,1480.299928,41448.39797,0.006948399,,,,,4.10466E-05,0.68
Co0.8Ir3.2O5,268,28,7.3,50,0.94,,1480.299928,41448.39797,0.006465871,,,,,4.10466E-05,0.7
Co2.0Ir2.0O5,208,28,7.3,50,0.94,,1480.299928,41448.39797,0.005018288,,,,,4.11786E-05,0.68
Co0.4Ir3.6O7,288,28,10.22,50,0.94,,27446.66648,768506.6616,0.000374753,,,,,4.11786E-05,0.68
Ni4.5Pt4.5O10,477,76.5,14.6,50,0.94,,2191287.876,167633522.5,2.84549E-06,,,,,4.11786E-05,0.77
Ni1.8Pt7.2O10,612,79.2,14.6,50,0.94,,2191287.876,173549999.7,3.52636E-06,,,,,4.11786E-05,1.18
Ni0.9Pt8.1O10,657,80.1,14.6,50,0.94,,2191287.876,175522158.8,3.74312E-06,,,,,4.12658E-05,0.7
Ni4.0Pt4.0O9,424,68,13.14,50,0.94,,508896.5331,34604964.25,1.22526E-05,,,,,4.12658E-05,0.7
Ni1.6Pt6.4O9,544,70.4,13.14,50,0.94,,508896.5331,35826315.93,1.51844E-05,,,,,4.12658E-05,0.73
Ni0.8Pt7.2O9,584,71.2,13.14,50,0.94,,508896.5331,36233433.16,1.61177E-05,,,,,4.12658E-05,0.78
Co1.8Zr7.2O10,336.6,27,14.6,50,0.94,,2191287.876,59164772.64,5.6892E-06,,,,,4.12658E-05,0.8
Co1.2Zr4.8O7,224.4,18,10.22,50,0.94,,27446.66648,494039.9967,0.000454214,,,,,4.12658E-05,0.91
Co2.5Zr2.5O9,167.5,22.5,13.14,50,0.94,,508896.5331,11450171.99,1.46286E-05,,,,,4.12658E-05,1.06
Co2.5Zr2.5O8,167.5,22.5,11.68,50,0.94,,118184.2351,2659145.289,6.29902E-05,,,,,4.12658E-05,1.13
Cr0.7Au6.3O8,514.5,65.8,11.68,50,0.94,,118184.2351,7776522.667,6.61607E-05,,,,,4.12658E-05,1.17
Cr3.0Au3.0O7,309,42,10.22,50,0.94,,27446.66648,1152759.992,0.000268052,,,,,4.12658E-05,1.32
Cr1.2Au4.8O7,408,52.8,10.22,50,0.94,,27446.66648,1449183.99,0.000281538,,,,,4.12658E-05,0.73
Cr0.6Au5.4O7,441,56.4,10.22,50,0.94,,27446.66648,1547991.99,0.000284885,,,,,4.12658E-05,0.9
Cr2.5Au2.5O9,257.5,35,13.14,50,0.94,,508896.5331,17811378.66,1.44571E-05,,,,,4.15376E-05,0.73
CrAu4.0O9,340,44,13.14,50,0.94,,508896.5331,22391447.46,1.51844E-05,,,,,4.15376E-05,0.68
Cr0.5Au4.5O9,367.5,47,13.14,50,0.94,,508896.5331,23918137.06,1.53649E-05,,,,,4.15376E-05,0.7
Cr2.5Au2.5O8,257.5,35,11.68,50,0.94,,118184.2351,4136448.227,6.22515E-05,,,,,4.15376E-05,1.23
CrAu4.0O8,340,44,11.68,50,0.94,,118184.2351,5200106.343,6.53833E-05,,,,,4.16432E-05,0.71
Cr0.5Au4.5O8,367.5,47,11.68,50,0.94,,118184.2351,5554659.048,6.61607E-05,,,,,4.16432E-05,1.16
Cr2.5Au2.5O7,257.5,35,10.22,50,0.94,,27446.66648,960633.3269,0.000268052,,,,,4.16432E-05,0.83
CrAu4.0O7,340,44,10.22,50,0.94,,27446.66648,1207653.325,0.000281538,,,,,4.16432E-05,1.13
Cr0.5Au4.5O7,367.5,47,10.22,50,0.94,,27446.66648,1289993.325,0.000284885,,,,,4.18798E-05,0.75
Cr2.5Au2.5O6,257.5,35,8.76,50,0.94,,6374.111578,223093.9052,0.001154222,,,,,4.18798E-05,0.75
CrAu4.0O6,340,44,8.76,50,0.94,,6374.111578,280460.9094,0.00121229,,,,,4.18798E-05,0.75
Cr0.5Au4.5O6,367.5,47,8.76,50,0.94,,6374.111578,299583.2442,0.001226704,,,,,4.18798E-05,0.82
Cr2.0Au2.0O9,206,28,13.14,50,0.94,,508896.5331,14249102.93,1.44571E-05,,,,,4.18798E-05,0.83
Cr0.8Au3.2O9,272,35.2,13.14,50,0.94,,508896.5331,17913157.96,1.51844E-05,,,,,4.18798E-05,1.16
Cr0.4Au3.6O9,294,37.6,13.14,50,0.94,,508896.5331,19134509.64,1.53649E-05,,,,,4.19208E-05,0.96
Cr2.0Au2.0O7,206,28,10.22,50,0.94,,27446.66648,768506.6616,0.000268052,,,,,4.19208E-05,0.94
Cr0.8Au3.2O7,272,35.2,10.22,50,0.94,,27446.66648,966122.6602,0.000281538,,,,,4.19208E-05,0.96
Cr0.4Au3.6O7,294,37.6,10.22,50,0.94,,27446.66648,1031994.66,0.000284885,,,,,4.19208E-05,1.01
Cr2.0Au2.0O5,206,28,7.3,50,0.94,,1480.299928,41448.39797,0.004970035,,,,,4.19208E-05,1.07
Cr0.8Au3.2O5,272,35.2,7.3,50,0.94,,1480.299928,52106.55745,0.005220072,,,,,4.19208E-05,0.94
Co0.4Ru3.6O5,169.2,28,7.3,50,0.94,,1480.299928,41448.39797,0.004082184,,,,,4.23068E-05,0.76
Co2.5Zr2.5O6,167.5,22.5,8.76,50,0.94,,6374.111578,143417.5105,0.001167919,,,,,4.23068E-05,0.81
Co2.5Zr2.5O7,167.5,22.5,10.22,50,0.94,,27446.66648,617549.9959,0.000271233,,,,,4.23068E-05,0.81
Ni3.5Pt3.5O10,371,59.5,14.6,50,0.94,,2191287.876,130381628.6,2.84549E-06,,,,,4.23068E-05,0.82
Cr1.4Au5.6O8,476,61.6,11.68,50,0.94,,118184.2351,7280148.88,6.53833E-05,,,,,4.23068E-05,0.83
Ni1.4Pt5.6O10,476,61.6,14.6,50,0.94,,2191287.876,134983333.1,3.52636E-06,,,,,4.23068E-05,0.94
Ni3.5Pt3.5O9,371,59.5,13.14,50,0.94,,508896.5331,30279343.72,1.22526E-05,,,,,4.23068E-05,0.94
Ni1.4Zr5.6O10,263.2,22.4,14.6,50,0.94,,2191287.876,49084848.41,5.36214E-06,,,,,4.23068E-05,0.94
Ni3.5Zr3.5O10,238,35,14.6,50,0.94,,2191287.876,76695075.65,3.1032E-06,,,,,4.23068E-05,0.94
Ni0.8Zr7.2O9,310.4,20.8,13.14,50,0.94,,508896.5331,10585047.89,2.93244E-05,,,,,4.23068E-05,0.94
Ni1.6Zr6.4O9,300.8,25.6,13.14,50,0.94,,508896.5331,13027751.25,2.30892E-05,,,,,4.23068E-05,0.94
Ni4.0Zr4.0O9,272,40,13.14,50,0.94,,508896.5331,20355861.32,1.33622E-05,,,,,4.23068E-05,0.97
Ni0.9Zr8.1O10,349.2,23.4,14.6,50,0.94,,2191287.876,51276136.29,6.81019E-06,,,,,4.23068E-05,1
Ni1.8Zr7.2O10,338.4,28.8,14.6,50,0.94,,2191287.876,63109090.82,5.36214E-06,,,,,4.23068E-05,1
Ni4.5Zr4.5O10,306,45,14.6,50,0.94,,2191287.876,98607954.4,3.1032E-06,,,,,4.23068E-05,1.14
Ni1.2Pt4.8O7,408,52.8,10.22,50,0.94,,27446.66648,1449183.99,0.000281538,,,,,4.23068E-05,1.14
Ni0.6Pt5.4O7,438,53.4,10.22,50,0.94,,27446.66648,1465651.99,0.000298843,,,,,4.23068E-05,1.14
Ni2.5Pt2.5O9,265,42.5,13.14,50,0.94,,508896.5331,21628102.66,1.22526E-05,,,,,4.23068E-05,1.15
NiPt4.0O9,340,44,13.14,50,0.94,,508896.5331,22391447.46,1.51844E-05,,,,,4.23068E-05,1.15
Ni0.7Zr6.3O10,271.6,18.2,14.6,50,0.94,,2191287.876,39881439.34,6.81019E-06,,,,,4.23068E-05,1.16
Ni0.5Pt4.5O9,365,44.5,13.14,50,0.94,,508896.5331,22645895.72,1.61177E-05,,,,,4.23068E-05,1.17
NiPt4.0O8,340,44,11.68,50,0.94,,118184.2351,5200106.343,6.53833E-05,,,,,4.23068E-05,1.17
Ni0.5Pt4.5O8,365,44.5,11.68,50,0.94,,118184.2351,5259198.461,6.94022E-05,,,,,4.23068E-05,1.18
Ni2.5Pt2.5O7,265,42.5,10.22,50,0.94,,27446.66648,1166483.326,0.000227179,,,,,4.23068E-05,1.25
NiPt4.0O7,340,44,10.22,50,0.94,,27446.66648,1207653.325,0.000281538,,,,,4.25758E-05,0.96
Ni0.5Pt4.5O7,365,44.5,10.22,50,0.94,,27446.66648,1221376.659,0.000298843,,,,,4.25758E-05,0.94
Ni2.5Pt2.5O6,265,42.5,8.76,50,0.94,,6374.111578,270899.7421,0.000978222,,,,,4.25758E-05,0.96
NiPt4.0O6,340,44,8.76,50,0.94,,6374.111578,280460.9094,0.00121229,,,,,4.25758E-05,1.04
Ni0.5Pt4.5O6,365,44.5,8.76,50,0.94,,6374.111578,283647.9652,0.001286806,,,,,4.25758E-05,1.07
Ni2.0Pt2.0O9,212,34,13.14,50,0.94,,508896.5331,17302482.13,1.22526E-05,,,,,4.25758E-05,0.94
Ni0.8Pt3.2O9,272,35.2,13.14,50,0.94,,508896.5331,17913157.96,1.51844E-05,,,,,4.29112E-05,0.82
Ni0.4Pt3.6O9,292,35.6,13.14,50,0.94,,508896.5331,18116716.58,1.61177E-05,,,,,4.29112E-05,0.94
Ni2.0Pt2.0O7,212,34,10.22,50,0.94,,27446.66648,933186.6605,0.000227179,,,,,4.29112E-05,0.94
Ni2.5Pt2.5O8,265,42.5,11.68,50,0.94,,118184.2351,5022829.99,5.27591E-05,,,,,4.29112E-05,0.94
Ni3.5Zr3.5O9,238,35,13.14,50,0.94,,508896.5331,17811378.66,1.33622E-05,,,,,4.29112E-05,0.94
Ni1.4Zr5.6O9,263.2,22.4,13.14,50,0.94,,508896.5331,11399282.34,2.30892E-05,,,,,4.29112E-05,0.94
Ni0.7Zr6.3O9,271.6,18.2,13.14,50,0.94,,508896.5331,9261916.902,2.93244E-05,,,,,4.29112E-05,0.94
Ni1.4Pt5.6O9,476,61.6,13.14,50,0.94,,508896.5331,31348026.44,1.51844E-05,,,,,4.29112E-05,0.98
Ni0.7Pt6.3O9,511,62.3,13.14,50,0.94,,508896.5331,31704254.01,1.61177E-05,,,,,4.29112E-05,1.01
Ni3.5Pt3.5O8,371,59.5,11.68,50,0.94,,118184.2351,7031961.987,5.27591E-05,,,,,4.29112E-05,1.03
Ni1.4Pt5.6O8,476,61.6,11.68,50,0.94,,118184.2351,7280148.88,6.53833E-05,,,,,4.29112E-05,1.09
Ni0.7Pt6.3O8,511,62.3,11.68,50,0.94,,118184.2351,7362877.845,6.94022E-05,,,,,4.29112E-05,1.19
Ni3.0Pt3.0O7,318,51,10.22,50,0.94,,27446.66648,1399779.991,0.000227179,,,,,4.29976E-05,1.09
Ni2.0Zr2.0O5,136,20,7.3,50,0.94,,1480.299928,29605.99855,0.004593664,,,,,4.29976E-05,0.84
Ni2.0Zr2.0O7,136,20,10.22,50,0.94,,27446.66648,548933.3297,0.000247753,,,,,4.29976E-05,1.16
Ni2.0Zr2.0O9,136,20,13.14,50,0.94,,508896.5331,10177930.66,1.33622E-05,,,,,4.29976E-05,0.71
Co0.8Ir3.2O7,268,28,10.22,50,0.94,,27446.66648,768506.6616,0.000348728,,,,,4.31674E-05,0.75
NiZr4.0O6,188,16,8.76,50,0.94,,6374.111578,101985.7852,0.001843394,,,,,4.31674E-05,0.86
Ni2.5Zr2.5O6,170,25,8.76,50,0.94,,6374.111578,159352.7894,0.001066815,,,,,4.31674E-05,0.94
Co2.0Ir2.0O7,208,28,10.22,50,0.94,,27446.66648,768506.6616,0.000270655,,,,,4.31674E-05,1.16
NiZr4.0O7,188,16,10.22,50,0.94,,27446.66648,439146.6637,0.000428103,,,,,4.31674E-05,0.75
Ni2.5Zr2.5O7,170,25,10.22,50,0.94,,27446.66648,686166.6621,0.000247753,,,,,4.31674E-05,0.94
Co0.4Ir3.6O9,288,28,13.14,50,0.94,,508896.5331,14249102.93,2.02118E-05,,,,,4.35156E-05,0.75
NiZr4.0O8,188,16,11.68,50,0.94,,118184.2351,1890947.761,9.9421E-05,,,,,4.35156E-05,0.83
Ni2.5Zr2.5O8,170,25,11.68,50,0.94,,118184.2351,2954605.877,5.75373E-05,,,,,4.35156E-05,0.83
Co0.8Ir3.2O9,268,28,13.14,50,0.94,,508896.5331,14249102.93,1.88082E-05,,,,,4.35156E-05,1.18
NiZr4.0O9,188,16,13.14,50,0.94,,508896.5331,8142344.529,2.30892E-05,,,,,4.37171E-05,0.94
Ni2.5Zr2.5O9,170,25,13.14,50,0.94,,508896.5331,12722413.33,1.33622E-05,,,,,4.37171E-05,0.76
Ni0.6Zr5.4O7,232.8,15.6,10.22,50,0.94,,27446.66648,428167.9972,0.000543712,,,,,4.37171E-05,0.77
Ni1.2Zr4.8O7,225.6,19.2,10.22,50,0.94,,27446.66648,526975.9965,0.000428103,,,,,4.37171E-05,1
Ni3.0Zr3.0O7,204,30,10.22,50,0.94,,27446.66648,823399.9945,0.000247753,,,,,4.37171E-05,1.01
Ni0.7Zr6.3O8,271.6,18.2,11.68,50,0.94,,118184.2351,2150953.078,0.00012627,,,,,4.37171E-05,1.1
Ni1.4Zr5.6O8,263.2,22.4,11.68,50,0.94,,118184.2351,2647326.866,9.9421E-05,,,,,4.37171E-05,1.18
Ni3.5Zr3.5O8,238,35,11.68,50,0.94,,118184.2351,4136448.227,5.75373E-05,,,,,4.37171E-05,1.21
Ni0.7Pt6.3O10,511,62.3,14.6,50,0.94,,2191287.876,136517234.7,3.74312E-06,,,,,4.38087E-05,0.8
Cr3.5Au3.5O8,360.5,49,11.68,50,0.94,,118184.2351,5791027.518,6.22515E-05,,,,,4.38087E-05,0.96
Cr0.7Au6.3O9,514.5,65.8,13.14,50,0.94,,508896.5331,33485391.88,1.53649E-05,,,,,4.38087E-05,1.18
Cr1.4Au5.6O9,476,61.6,13.14,50,0.94,,508896.5331,31348026.44,1.51844E-05,,,,,4.38087E-05,1.28
Mn0.6Au5.4O7,441.6,57,10.22,50,0.94,,27446.66648,1564459.99,0.00028227,,,,,4.38087E-05,0.79
Mn2.5Au2.5O9,260,37.5,13.14,50,0.94,,508896.5331,19083619.99,1.36242E-05,,,,,4.38087E-05,0.96
MnAu4.0O9,341,45,13.14,50,0.94,,508896.5331,22900343.99,1.48906E-05,,,,,4.39991E-05,0.94
Mn0.5Au4.5O9,368,47.5,13.14,50,0.94,,508896.5331,24172585.32,1.52239E-05,,,,,4.39991E-05,0.94
Mn2.5Au2.5O8,260,37.5,11.68,50,0.94,,118184.2351,4431908.815,5.86655E-05,,,,,4.39991E-05,0.97
MnAu4.0O8,341,45,11.68,50,0.94,,118184.2351,5318290.578,6.41183E-05,,,,,4.39991E-05,1.1
Mn0.5Au4.5O8,368,47.5,11.68,50,0.94,,118184.2351,5613751.166,6.55533E-05,,,,,4.40729E-05,0.68
Mn2.5Au2.5O7,260,37.5,10.22,50,0.94,,27446.66648,1029249.993,0.000252611,,,,,4.40729E-05,0.7
MnAu4.0O7,341,45,10.22,50,0.94,,27446.66648,1235099.992,0.000276091,,,,,4.40729E-05,0.7
Mn0.5Au4.5O7,368,47.5,10.22,50,0.94,,27446.66648,1303716.658,0.00028227,,,,,4.40729E-05,0.89
Mn2.5Au2.5O6,260,37.5,8.76,50,0.94,,6374.111578,239029.1842,0.001087733,,,,,4.40729E-05,1.06
MnAu4.0O6,341,45,8.76,50,0.94,,6374.111578,286835.021,0.001188837,,,,,4.40729E-05,0.68
Mn1.2Au4.8O7,409.2,54,10.22,50,0.94,,27446.66648,1482119.99,0.000276091,,,,,4.42133E-05,0.96
Mn0.5Au4.5O6,368,47.5,8.76,50,0.94,,6374.111578,302770.3,0.001215443,,,,,4.42133E-05,0.77
Mn0.8Au3.2O9,272.8,36,13.14,50,0.94,,508896.5331,18320275.19,1.48906E-05,,,,,4.42133E-05,0.96
Mn0.4Au3.6O9,294.4,38,13.14,50,0.94,,508896.5331,19338068.26,1.52239E-05,,,,,4.42133E-05,1.18
Mn2.0Au2.0O7,208,30,10.22,50,0.94,,27446.66648,823399.9945,0.000252611,,,,,4.42133E-05,1.28
Mn0.8Au3.2O7,272.8,36,10.22,50,0.94,,27446.66648,988079.9934,0.000276091,,,,,4.42133E-05,0.79
Mn0.4Au3.6O7,294.4,38,10.22,50,0.94,,27446.66648,1042973.326,0.00028227,,,,,4.49103E-05,0.94
Mn2.0Au2.0O5,208,30,7.3,50,0.94,,1480.299928,44408.99783,0.004683736,,,,,4.49103E-05,0.94
Mn0.8Au3.2O5,272.8,36,7.3,50,0.94,,1480.299928,53290.79739,0.005119083,,,,,4.49103E-05,0.94
Mn0.4Au3.6O5,294.4,38,7.3,50,0.94,,1480.299928,56251.39725,0.005233648,,,,,4.49103E-05,1.12
Mn0.7Zr6.3O8,269.5,16.1,11.68,50,0.94,,118184.2351,1902766.185,0.000141636,,,,,4.52499E-05,1.17
Mn0.7Zr6.3O9,269.5,16.1,13.14,50,0.94,,508896.5331,8193234.183,3.2893E-05,,,,,4.52499E-05,1
Mn0.7Zr6.3O10,269.5,16.1,14.6,50,0.94,,2191287.876,35279734.8,7.63895E-06,,,,,4.52499E-05,0.95
Mn0.8Zr7.2O9,308,18.4,13.14,50,0.94,,508896.5331,9363696.209,3.2893E-05,,,,,4.52499E-05,0.94
Mn2.0Au2.0O9,208,30,13.14,50,0.94,,508896.5331,15266895.99,1.36242E-05,,,,,4.55531E-05,0.77
Mn3.0Au3.0O7,312,45,10.22,50,0.94,,27446.66648,1235099.992,0.000252611,,,,,4.55531E-05,0.94
Mn0.7Au6.3O8,515.2,66.5,11.68,50,0.94,,118184.2351,7859251.632,6.55533E-05,,,,,4.55531E-05,0.96
Mn1.4Au5.6O8,477.4,63,11.68,50,0.94,,118184.2351,7445606.809,6.41183E-05,,,,,4.55531E-05,1.01
Fe0.8Ir7.2O9,575.2,55.2,13.14,50,0.94,,508896.5331,28091088.63,2.04762E-05,,,,,4.55531E-05,1.07
Fe1.6Ir6.4O9,534.4,54.4,13.14,50,0.94,,508896.5331,27683971.4,1.93036E-05,,,,,4.55531E-05,0.96
