compound,feat_1,feat_11,feat_24,feat_29,label,,,,,,,,,,label
CoZn4.0O9,147,47,13.14,50,0.68,,508896.5331,23918137.06,6.14596E-06,,,,,2.1573E-06,0.94
Co0.5Zn4.5O9,148.5,48.5,13.14,50,0.68,,508896.5331,24681481.85,6.01666E-06,,,,,2.1573E-06,0.94
CoZn4.0O8,147,47,11.68,50,0.68,,118184.2351,5554659.048,2.64643E-05,,,,,2.1573E-06,1.28
Co0.5Zn4.5O8,148.5,48.5,11.68,50,0.68,,118184.2351,5731935.401,2.59075E-05,,,,,2.15944E-06,0.68
CoZn4.0O7,147,47,10.22,50,0.68,,27446.66648,1289993.325,0.000113954,,,,,2.15944E-06,0.68
Fe1.6Mn6.4O9,201.6,41.6,13.14,50,0.68,,508896.5331,21170095.78,9.52287E-06,,,,,2.15944E-06,0.7
Co0.5Zn4.5O7,148.5,48.5,10.22,50,0.68,,27446.66648,1331163.324,0.000111557,,,,,2.15944E-06,1.16
Fe2.5Mn2.5O9,127.5,27.5,13.14,50,0.68,,508896.5331,13994654.66,9.11062E-06,,,,,2.16007E-06,0.75
Fe3.0Mn3.0O7,153,33,10.22,50,0.68,,27446.66648,905739.994,0.000168923,,,,,2.16007E-06,0.8
Fe1.4Mn5.6O8,176.4,36.4,11.68,50,0.68,,118184.2351,4301906.156,4.10051E-05,,,,,2.16007E-06,0.94
Fe3.5Mn3.5O8,178.5,38.5,11.68,50,0.68,,118184.2351,4550093.05,3.923E-05,,,,,2.16007E-06,0.94
Fe1.4Mn5.6O9,176.4,36.4,13.14,50,0.68,,508896.5331,18523833.8,9.52287E-06,,,,,2.16007E-06,0.94
Fe3.5Mn3.5O9,178.5,38.5,13.14,50,0.68,,508896.5331,19592516.52,9.11062E-06,,,,,2.16007E-06,0.97
Fe1.4Mn5.6O10,176.4,36.4,14.6,50,0.68,,2191287.876,79762878.67,2.21156E-06,,,,,2.16007E-06,1.15
CoZn4.0O6,147,47,8.76,50,0.68,,6374.111578,299583.2442,0.000490682,,,,,2.16007E-06,1.28
Fe3.5Hf3.5O10,343,28,14.6,50,0.68,,2191287.876,61356060.52,5.59032E-06,,,,,2.16271E-06,0.7
Mn2.5Cd2.5O7,182.5,37.5,10.22,50,0.68,,27446.66648,1029249.993,0.000177314,,,,,2.16271E-06,0.68
Fe1.6Hf6.4O9,502.4,22.4,13.14,50,0.68,,508896.5331,11399282.34,4.40729E-05,,,,,2.16271E-06,0.68
Mn4.0Re4.0O9,400,40,13.14,50,0.68,,508896.5331,20355861.32,1.96504E-05,,,,,2.16271E-06,1.25
Mn3.5Re3.5O10,350,35,14.6,50,0.68,,2191287.876,76695075.65,4.56353E-06,,,,,2.1701E-06,0.94
Mn3.5Re3.5O9,350,35,13.14,50,0.68,,508896.5331,17811378.66,1.96504E-05,,,,,2.1701E-06,0.97
Mn3.5Re3.5O8,350,35,11.68,50,0.68,,118184.2351,4136448.227,8.46137E-05,,,,,2.1701E-06,1.15
Mn3.0Re3.0O7,300,30,10.22,50,0.68,,27446.66648,823399.9945,0.000364343,,,,,2.1701E-06,0.94
Co0.9Hf8.1O10,607.5,22.5,14.6,50,0.68,,2191287.876,49303977.2,1.23215E-05,,,,,2.17718E-06,0.68
Co0.8Hf7.2O9,540,20,13.14,50,0.68,,508896.5331,10177930.66,5.3056E-05,,,,,2.17718E-06,0.68
Co0.7Hf6.3O10,472.5,17.5,14.6,50,0.68,,2191287.876,38347537.82,1.23215E-05,,,,,2.17718E-06,0.7
Co0.3Re2.7O8,210.6,15.6,11.68,50,0.68,,118184.2351,1843674.067,0.000114228,,,,,2.17718E-06,1.23
Co0.7Hf6.3O9,472.5,17.5,13.14,50,0.68,,508896.5331,8905689.329,5.3056E-05,,,,,2.17844E-06,0.73
MnRe4.0O9,325,25,13.14,50,0.68,,508896.5331,12722413.33,2.55455E-05,,,,,2.17844E-06,0.76
Mn0.5Re4.5O9,350,25,13.14,50,0.68,,508896.5331,12722413.33,2.75105E-05,,,,,2.17844E-06,1.12
Mn2.5Re2.5O8,250,25,11.68,50,0.68,,118184.2351,2954605.877,8.46137E-05,,,,,2.17844E-06,1.16
MnRe4.0O8,325,25,11.68,50,0.68,,118184.2351,2954605.877,0.000109998,,,,,2.19049E-06,0.68
Mn0.5Re4.5O8,350,25,11.68,50,0.68,,118184.2351,2954605.877,0.000118459,,,,,2.19049E-06,0.68
Co0.7Hf6.3O8,472.5,17.5,11.68,50,0.68,,118184.2351,2068224.114,0.000228457,,,,,2.19049E-06,0.7
Mn2.5Re2.5O7,250,25,10.22,50,0.68,,27446.66648,686166.6621,0.000364343,,,,,2.19049E-06,0.85
MnRe4.0O7,325,25,10.22,50,0.68,,27446.66648,686166.6621,0.000473646,,,,,2.19049E-06,0.94
Mn0.5Re4.5O7,350,25,10.22,50,0.68,,27446.66648,686166.6621,0.00051008,,,,,2.19049E-06,0.94
Ti8O9,176,16,13.14,50,0.68,,508896.5331,8142344.529,2.16154E-05,,,,,2.19049E-06,0.94
Mn2.5Re2.5O6,250,25,8.76,50,0.68,,6374.111578,159352.7894,0.001568846,,,,,2.19049E-06,0.94
MnRe4.0O6,325,25,8.76,50,0.68,,6374.111578,159352.7894,0.0020395,,,,,2.19049E-06,0.94
Mn0.5Re4.5O6,350,25,8.76,50,0.68,,6374.111578,159352.7894,0.002196385,,,,,2.19049E-06,0.94
Mn0.8Re3.2O9,260,20,13.14,50,0.68,,508896.5331,10177930.66,2.55455E-05,,,,,2.19049E-06,1.01
Mn0.4Re3.6O9,280,20,13.14,50,0.68,,508896.5331,10177930.66,2.75105E-05,,,,,2.19049E-06,1.03
Mn4.5Re4.5O10,450,45,14.6,50,0.68,,2191287.876,98607954.4,4.56353E-06,,,,,2.19049E-06,1.06
Fe0.6Re2.4O5,195.6,15.6,7.3,50,0.68,,1480.299928,23092.67887,0.008470217,,,,,2.19049E-06,1.12
Fe0.6Re2.4O7,195.6,15.6,10.22,50,0.68,,27446.66648,428167.9972,0.00045683,,,,,2.19049E-06,1.15
Fe0.6Re2.4O8,195.6,15.6,11.68,50,0.68,,118184.2351,1843674.067,0.000106093,,,,,2.19049E-06,1.3
Co0.3Re2.7O7,210.6,15.6,10.22,50,0.68,,27446.66648,428167.9972,0.000491863,,,,,2.1953E-06,0.68
