compound,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,label
Co0.3Mo2.7N2,121.5,276.71796,4.5360000000000005,5.586,6.218999999999999,27.39,21.5127,48.78300000000001,2.2095000000000002,6.396000000000001,15.6,18.900000000000002,30.426000000000002,59.1,405.3,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.09
Ni0.3Re2.7N2,210.9,520.3689,4.449,5.523,6.348,25.872,23.567999999999998,40.7127,0.753,5.702999999999999,15.9,21.900000000000002,59.42490000000001,19.32,156.90000000000003,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Co0.6Re2.4N2,196.2,482.25672,4.38,5.4239999999999995,6.359999999999999,25.259999999999998,23.6406,41.592,0.756,5.688,16.2,22.2,55.788,23.64,175.2,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Co0.3Re2.7N2,210.6,520.4388600000001,4.455,5.532,6.435,25.905,23.6403,40.386,0.603,5.694,15.6,21.6,59.42400000000001,20.22,159.60000000000002,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Fe0.6Re2.4N2,195.6,480.405,4.4159999999999995,5.4479999999999995,6.371999999999999,25.5,23.653799999999997,42.245400000000004,0.4578,5.6579999999999995,15.6,21.6,55.172399999999996,19.439999999999998,163.2,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Fe1.5Os1.5N2,153.0,369.0704999999999,4.140000000000001,5.115,6.15,23.384999999999998,24.9195,52.1235,1.8945,6.045,18.0,24.0,45.696,33.0,252.0,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Cr0.3Pd2.7N2,131.4,302.8788,4.17,5.061,6.021000000000001,26.199,24.540000000000003,57.1824,1.7037000000000002,6.4380000000000015,28.2,45.0,34.6191,29.37,222.6,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Mn1.5Os1.5N2,151.5,367.707,4.245,5.19,6.195,23.835,24.216,50.489999999999995,1.6500000000000001,5.625,16.5,22.5,45.089999999999996,18.93,143.7,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Cr0.6Pd2.4N2,124.79999999999998,286.55760000000004,4.17,5.052,5.981999999999999,25.698,24.068999999999996,56.224799999999995,1.7364,6.276,26.4,42.0,33.1692,28.740000000000002,229.2,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Mn0.6Pd2.4N2,125.39999999999999,288.32280000000003,4.17,5.022,6.029999999999999,25.8,24.469199999999997,56.75999999999999,1.3368,6.21,27.0,42.6,33.337199999999996,24.372,177.48,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Fe0.6Pd2.4N2,125.99999999999999,288.8682,4.128,4.992,6.012,25.619999999999997,24.7506,57.413399999999996,1.4346,6.378,27.6,43.199999999999996,33.5796,30.0,220.79999999999998,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Co0.6Pd2.4N2,126.6,290.71992,4.092,4.968,6.0,25.38,24.737399999999997,56.75999999999999,1.7328000000000001,6.408,28.2,43.8,34.1952,34.2,232.79999999999998,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Ni0.6Pd2.4N2,127.19999999999999,290.58000000000004,4.08,4.95,5.826,25.314,24.592799999999997,57.413399999999996,2.0328,6.426,28.8,44.4,34.196999999999996,32.4,227.39999999999998,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Co1.5Re1.5N2,153.0,367.71029999999996,4.155,5.1,6.135,23.325,23.6415,45.209999999999994,1.2149999999999999,5.67,18.0,24.0,44.88,33.9,222.0,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Fe1.5Re1.5N2,151.5,363.081,4.245,5.16,6.165,23.924999999999997,23.674500000000002,46.843500000000006,0.4695,5.595,16.5,22.5,43.341,23.4,192.0,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Mn0.3Pd2.7N2,131.7,303.76140000000004,4.17,5.045999999999999,6.045000000000001,26.25,24.7401,57.45,1.5039000000000002,6.405000000000001,28.5,45.300000000000004,34.7031,27.186,196.74,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
Fe0.3Pd2.7N2,132.0,304.0341,4.149,5.031,6.0360000000000005,26.16,24.8808,57.7767,1.5528000000000002,6.489000000000002,28.8,45.6,34.8243,30.0,218.4,14.0,28.0134,1.42,1.12,3.1,34.6,29.068,59.2,0.14,6.08,6.0,10.0,0.002502,400,1.1
