compound,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,label
Co0.2Sc1.8O9,43.2,92.70726,3.312,3.616,4.182,28.34,13.3878,26.456,0.4704,2.824,3.2,7.2,7.153,6.64,48.8,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.51
Sc2O7,42,89.9118,3.4,3.68,4.22,30,13.124,25.6,0.376,2.72,2,6,5.97,3.6,32,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.51
Co0.4Sc1.6O7,44.4,95.50272,3.224,3.552,4.144,26.68,13.6516,27.312,0.5648,2.928,4.4,8.4,8.336,9.68,65.6,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.51
Co0.2Sc1.8O7,43.2,92.70726,3.312,3.616,4.182,28.34,13.3878,26.456,0.4704,2.824,3.2,7.2,7.153,6.64,48.8,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.51
Sc2O5,42,89.9118,3.4,3.68,4.22,30,13.124,25.6,0.376,2.72,2,6,5.97,3.6,32,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.51
Fe0.4Sc1.6O7,44,94.26824,3.248,3.568,4.152,26.84,13.6604,27.7476,0.366,2.908,4,8,7.9256,6.88,57.6,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.51
Co0.2Sc1.8O5,43.2,92.70726,3.312,3.616,4.182,28.34,13.3878,26.456,0.4704,2.824,3.2,7.2,7.153,6.64,48.8,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.51
Fe0.2Sc1.8O5,43,92.09002,3.324,3.624,4.186,28.42,13.3922,26.6738,0.371,2.814,3,7,6.9478,5.24,44.8,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.51
Fe0.4Sc1.6O5,44,94.26824,3.248,3.568,4.152,26.84,13.6604,27.7476,0.366,2.908,4,8,7.9256,6.88,57.6,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.51
Sc2O9,42,89.9118,3.4,3.68,4.22,30,13.124,25.6,0.376,2.72,2,6,5.97,3.6,32,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.51
Co0.4Sc1.6O5,44.4,95.50272,3.224,3.552,4.144,26.68,13.6516,27.312,0.5648,2.928,4.4,8.4,8.336,9.68,65.6,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.51
Co0.2Ti1.8O7,45,98.00664,3.132,3.472,3.75,20.492,13.8666,27.851,0.2742,3.148,5,9,9.8926,7.9,59.6,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.51
Cr0.4Ti1.6O9,44.8,97.4384,3.116,3.48,3.748,19.916,13.6316,28.1952,0.3928,3.128,4.8,8.8,10.0872,7.16,72.8,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.51
Ni0.2Sc1.8O5,43.4,92.66062,3.308,3.61,4.124,28.318,13.3396,26.6738,0.5704,2.83,3.4,7.4,7.1536,6.04,47,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.51
Ni0.2Sc1.8O7,43.4,92.66062,3.308,3.61,4.124,28.318,13.3396,26.6738,0.5704,2.83,3.4,7.4,7.1536,6.04,47,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.51
Ni0.2Sc1.8O9,43.4,92.66062,3.308,3.61,4.124,28.318,13.3396,26.6738,0.5704,2.83,3.4,7.4,7.1536,6.04,47,72,143.9946,5.94,4.32,13.68,126,122.562,316.053,13.14,30.96,36,54,0.012861,100,1.51
Cr0.4Sc1.6O5,43.2,92.72784,3.276,3.608,4.132,26.892,13.206,26.9552,0.5672,2.84,3.2,7.2,7.652,6.04,63.2,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.51
Cr0.2Ti1.8O5,44.4,96.6192,3.158,3.5,3.744,20.598,13.6438,27.6726,0.2754,3.104,4.4,8.4,9.5506,6.08,58.4,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.51
Cr0.4Ti1.6O5,44.8,97.4384,3.116,3.48,3.748,19.916,13.6316,28.1952,0.3928,3.128,4.8,8.8,10.0872,7.16,72.8,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.51
Mn0.4Sc1.6O7,43.6,93.90464,3.276,3.588,4.164,26.96,13.4728,27.312,0.3008,2.796,3.6,7.6,7.764,3.128,28.72,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.51
Mn0.2Sc1.8O7,42.8,91.90822,3.338,3.634,4.192,28.48,13.2984,26.456,0.3384,2.758,2.8,6.8,6.867,3.364,30.36,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.51
Mn0.2Sc1.8O5,42.8,91.90822,3.338,3.634,4.192,28.48,13.2984,26.456,0.3384,2.758,2.8,6.8,6.867,3.364,30.36,40,79.997,3.3,2.4,7.6,70,68.09,175.585,7.3,17.2,20,30,0.007145,100,1.51
Cr0.4Ti1.6O7,44.8,97.4384,3.116,3.48,3.748,19.916,13.6316,28.1952,0.3928,3.128,4.8,8.8,10.0872,7.16,72.8,56,111.9958,4.62,3.36,10.64,98,95.326,245.819,10.22,24.08,28,42,0.010003,100,1.51
