compound,overpotential,
Co0.3Re2.7N2,0.5468957,
Fe0.6Re2.4N2,0.5468957,
Ni0.3Re2.7N2,0.5468957,
Co0.6Re2.4N2,0.5468957,
Mn0.6Pd2.4N2,0.5533639,
Ni0.6Re2.4N2,0.5533639,
Fe1.5Re1.5N2,0.5533639,
Co1.5Re1.5N2,0.5533639,
Co0.3Mo2.7N2,0.556973,
Mn0.6Cd2.4N2,0.564104,
Fe0.6Cd2.4N2,0.564104,
Cr0.6Cd2.4N2,0.564104,
Cd3N2,0.564104,
Ni0.3Cd2.7N2,0.564104,
Co0.3Cd2.7N2,0.564104,
Fe0.3Cd2.7N2,0.564104,
Mn0.3Cd2.7N2,0.564104,
Cr0.3Cd2.7N2,0.564104,
Co0.6Cd2.4N2,0.564104,
Ni0.3Pd2.7N2,0.570161,
Co0.3Pd2.7N2,0.570161,
Fe0.3Pd2.7N2,0.570161,
Mn0.3Pd2.7N2,0.570161,
Cr0.3Pd2.7N2,0.570161,
Cr0.6Pd2.4N2,0.570161,
Co0.6Pd2.4N2,0.570161,
Ni0.6Pd2.4N2,0.570161,
Fe0.6Pd2.4N2,0.570161,
Pd3N2,0.570161,
Fe1.5Os1.5N2,0.570161,
Mn1.5Os1.5N2,0.570161,
Co1.5W1.5N2,0.5785869,
Ni0.6Cd2.4N2,0.5815315,
Mn1.5Ir1.5N2,0.6357069,
Ni1.5Re1.5N2,0.6419138,
Co0.1Mo0.9N,0.6491349,
Co0.2Mo0.8N,0.6491349,
Fe0.2Mo0.8N,0.6491349,
Ni0.1Mo0.9N,0.6491349,
Ni1.5Ta1.5N2,0.65033966,
Fe0.1Mo0.9N,0.66909295,
Co0.6Hf2.4N2,0.6722763,
Fe1.5La1.5N2,0.6722763,
Fe1.5Ce1.5N2,0.6722763,
Fe1.5Pd1.5N2,0.67712337,
Fe1.5Mo1.5N2,0.67712337,
Mn1.5Pd1.5N2,0.67712337,
Co0.6Ta2.4N2,0.6789961,
Ta3N2,0.6789961,
Re3N2,0.6789961,
Cr0.3Ta2.7N2,0.6789961,
Cr0.6Re2.4N2,0.6789961,
Fe0.3Re2.7N2,0.6789961,
Cr0.3Re2.7N2,0.6789961,
Co0.3Ta2.7N2,0.6789961,
Fe0.6Ta2.4N2,0.6789961,
Mn0.3Ta2.7N2,0.6789961,
Mn0.6Ta2.4N2,0.6789961,
Ni0.3Ta2.7N2,0.6789961,
Fe0.3Ta2.7N2,0.6789961,
Mn0.3Re2.7N2,0.6789961,
Cr0.6Ta2.4N2,0.6789961,
Co1.5Hf1.5N2,0.6854643,
Fe1.5Hf1.5N2,0.6854643,
Fe1.5Ta1.5N2,0.6854643,
Mn1.5W1.5N2,0.6854643,
Ni0.6Hf2.4N2,0.6854643,
Cr1.5Re1.5N2,0.6854643,
Cr1.5Hf1.5N2,0.6854643,
Fe1.5Cd1.5N2,0.68786347,
Mn1.5Cd1.5N2,0.68786347,
Co1.5Ce1.5N2,0.6890734,
Co1.5La1.5N2,0.6890734,
Mn0.2Mo0.8N,0.69371283,
Fe0.6Mo2.4N2,0.69392043,
Co1.5Mo1.5N2,0.69392043,
Fe1.5Ru1.5N2,0.69392043,
Mn1.5Rh1.5N2,0.69392043,
Fe1.5Rh1.5N2,0.69392043,
Co0.6Mo2.4N2,0.69392043,
Cr1.5Pd1.5N2,0.69392043,
Co1.5Pd1.5N2,0.69392043,
Cr0.6Hf2.4N2,0.69479764,
Fe0.6Hf2.4N2,0.69479764,
Mn0.6W2.4N2,0.69579315,
Mn0.3W2.7N2,0.69579315,
Mo3N2,0.6974993,
Cr0.1Mo0.9N,0.6992829,
Mn0.1Mo0.9N,0.6992829,
Cr0.2Mo0.8N,0.6992829,
Mn0.6Re2.4N2,0.7015174,
Cr1.5Ta1.5N2,0.7022614,
Fe1.5W1.5N2,0.7022614,
Fe0.6W2.4N2,0.7022614,
Co1.5Ta1.5N2,0.7022614,
Ni0.6Ta2.4N2,0.7022614,
Fe0.3W2.7N2,0.70421904,
Cr1.5W1.5N2,0.7106873,
Cr1.5La1.5N2,0.7115947,
Cr1.5Ce1.5N2,0.7115947,
Cr0.3Os2.7N2,0.7377797,
Fe0.3Os2.7N2,0.7377797,
Co0.3Os2.7N2,0.7377797,
Ni0.3Os2.7N2,0.7377797,
Cr0.6Os2.4N2,0.7377797,
Fe0.6Os2.4N2,0.7377797,
Os3N2,0.7377797,
Co0.6Os2.4N2,0.7377797,
Mn0.6Os2.4N2,0.7377797,
Mn0.3Os2.7N2,0.7377797,
Mn0.3Pt2.7N2,0.7377797,
Fe0.3Pt2.7N2,0.7377797,
Co0.3Pt2.7N2,0.7377797,
Pt3N2,0.7377797,
Cr0.3Ru2.7N2,0.7442479,
Mn0.3Ru2.7N2,0.7442479,
Fe0.3Ru2.7N2,0.7442479,
Co0.3Ru2.7N2,0.7442479,
Ni0.3Ru2.7N2,0.7442479,
Cr0.3Rh2.7N2,0.7442479,
Mn0.3Rh2.7N2,0.7442479,
Fe0.3Rh2.7N2,0.7442479,
Co0.3Rh2.7N2,0.7442479,
Ni0.6Ir2.4N2,0.7442479,
Fe0.6Ir2.4N2,0.7442479,
Co0.6Ir2.4N2,0.7442479,
Ni0.6Pt2.4N2,0.7442479,
Ni0.6Os2.4N2,0.7442479,
Co0.6Pt2.4N2,0.7442479,
Fe0.6Pt2.4N2,0.7442479,
Mn0.6Pt2.4N2,0.7442479,
Cr0.6Pt2.4N2,0.7442479,
Cr0.6Ir2.4N2,0.7442479,
Mn0.6Ir2.4N2,0.7442479,
Co1.5Pt1.5N2,0.7442479,
Cr1.5Pt1.5N2,0.7442479,
Fe1.5Pt1.5N2,0.7442479,
Co0.6Ru2.4N2,0.7442479,
Cr0.3Ir2.7N2,0.7442479,
Mn0.3Ir2.7N2,0.7442479,
Fe0.3Ir2.7N2,0.7442479,
Co0.3Ir2.7N2,0.7442479,
Ni0.3Ir2.7N2,0.7442479,
Cr0.3Pt2.7N2,0.7442479,
Ni0.3Pt2.7N2,0.7442479,
Fe1.5Ir1.5N2,0.7442479,
Co1.5Os1.5N2,0.7442479,
Ni0.6Ru2.4N2,0.7442479,
Ir3N2,0.7442479,
Rh3N2,0.7442479,
Ru3N2,0.7442479,
Cr0.6Rh2.4N2,0.7442479,
Mn0.6Rh2.4N2,0.7442479,
Fe0.6Rh2.4N2,0.7442479,
Co0.6Rh2.4N2,0.7442479,
Cr1.5Ir1.5N2,0.7442479,
Co1.5Ir1.5N2,0.7442479,
Mn1.5Pt1.5N2,0.7457163,
Co1.5Cd1.5N2,0.74887615,
Cr1.5Cd1.5N2,0.74887615,
Cr0.3Hf2.7N2,0.7558405,
Co0.3Hf2.7N2,0.7585415,
Co1.5Nb1.5N2,0.75946635,
Ni0.3Mo2.7N2,0.75946635,
Cr0.3W2.7N2,0.76133907,
Co0.3W2.7N2,0.76133907,
MoN,0.7653594,
Mn1.5Ag1.5N2,0.7656732,
Ni1.5Cd1.5N2,0.7656732,
Fe1.5Ag1.5N2,0.7656732,
Ni1.5Hf1.5N2,0.76637435,
Cr0.6W2.4N2,0.7678073,
Co0.6W2.4N2,0.7678073,
Cr0.5Rh0.5N,0.76880866,
Cd7O8,0.77044386,
Cd5O7,0.77044386,
Cd5O6,0.77044386,
Cd5O8,0.77044386,
Cd5O9,0.77044386,
Cd4O9,0.77044386,
Cd6O7,0.77044386,
Cd4O7,0.77044386,
Cd4O5,0.77044386,
Zn7O9,0.77044386,
Zn5O6,0.77044386,
Zn5O7,0.77044386,
Zn5O8,0.77044386,
Zn5O9,0.77044386,
Zn6O7,0.77044386,
Zn7O8,0.77044386,
Zn7O10,0.77044386,
Zn8O9,0.77044386,
Zn9O10,0.77044386,
Cd7O9,0.77044386,
Mn1.2Hf4.8O7,0.77044386,
Cd7O10,0.77044386,
Fe0.7Hf6.3O9,0.77044386,
Cd9O10,0.77044386,
Mn1.8Zn7.2O10,0.77044386,
Mn0.9Zn8.1O10,0.77044386,
Mn4.0Zn4.0O9,0.77044386,
Mn1.6Zn6.4O9,0.77044386,
Mn0.8Zn7.2O9,0.77044386,
Mn3.5Zn3.5O10,0.77044386,
