compound,overpotential,
Co0.3Mo2.7N2,1.0896467,
Ni0.3Re2.7N2,1.0963664,
Co0.6Re2.4N2,1.0963664,
Co0.3Re2.7N2,1.0963664,
Fe0.6Re2.4N2,1.0963664,
Fe1.5Os1.5N2,1.1028346,
Cr0.3Pd2.7N2,1.1028346,
Mn1.5Os1.5N2,1.1028346,
Cr0.6Pd2.4N2,1.1028346,
Mn0.6Pd2.4N2,1.1028346,
Fe0.6Pd2.4N2,1.1028346,
Co0.6Pd2.4N2,1.1028346,
Ni0.6Pd2.4N2,1.1028346,
Co1.5Re1.5N2,1.1028346,
Fe1.5Re1.5N2,1.1028346,
Mn0.3Pd2.7N2,1.1028346,
Fe0.3Pd2.7N2,1.1028346,
Co0.3Pd2.7N2,1.1028346,
Ni0.3Pd2.7N2,1.1028346,
Ni0.6Re2.4N2,1.1028346,
Pd3N2,1.1028346,
Co1.5W1.5N2,1.1112604,
Cd3N2,1.1135746,
Fe0.6Cd2.4N2,1.1135746,
Ni0.3Cd2.7N2,1.1135746,
Fe0.3Cd2.7N2,1.1135746,
Mn0.3Cd2.7N2,1.1135746,
Mn0.6Cd2.4N2,1.1135746,
Co0.3Cd2.7N2,1.1135746,
Cr0.3Cd2.7N2,1.1135746,
Co0.6Cd2.4N2,1.1135746,
Cr0.6Cd2.4N2,1.1135746,
Fe0.2Mo0.8N,1.1158205,
Co0.2Mo0.8N,1.1158205,
Ni0.1Mo0.9N,1.1158205,
Co0.1Mo0.9N,1.1158205,
Ni0.6Cd2.4N2,1.1310022,
Mn1.5Ir1.5N2,1.1317295,
Fe0.1Mo0.9N,1.1357785,
Mn0.2Mo0.8N,1.1706735,
Ni1.5Re1.5N2,1.1745874,
Ni1.5Ta1.5N2,1.1830132,
Re3N2,1.1888827,
Fe0.3Re2.7N2,1.1888827,
Mn0.3Re2.7N2,1.1888827,
Cr0.3Re2.7N2,1.1888827,
Cr0.6Re2.4N2,1.1888827,
Mn0.1Mo0.9N,1.1892102,
Cr0.2Mo0.8N,1.1892102,
Cr0.1Mo0.9N,1.1892102,
Cr0.3Ta2.7N2,1.1940122,
Mn0.3Ta2.7N2,1.1940122,
Fe0.3Ta2.7N2,1.1940122,
Cr0.6Ta2.4N2,1.1940122,
Mn0.6Ta2.4N2,1.1940122,
Fe0.6Ta2.4N2,1.1940122,
Co0.3Ta2.7N2,1.1940122,
Ni0.3Ta2.7N2,1.1940122,
Co0.6Ta2.4N2,1.1940122,
Ta3N2,1.1940122,
Mn0.3W2.7N2,1.1940122,
Mn0.6W2.4N2,1.1940122,
Mn1.5W1.5N2,1.1953509,
Co1.5Ta1.5N2,1.1953509,
Fe1.5Ta1.5N2,1.1953509,
Fe1.5W1.5N2,1.1953509,
Co1.5Hf1.5N2,1.1953509,
Cr1.5Re1.5N2,1.1953509,
Mn1.5Pd1.5N2,1.1967815,
Fe1.5Ru1.5N2,1.1967815,
Co0.6Mo2.4N2,1.1967815,
Co1.5Pd1.5N2,1.1967815,
Co1.5Mo1.5N2,1.1967815,
Fe1.5Rh1.5N2,1.1967815,
Cr1.5Pd1.5N2,1.1967815,
Mn1.5Rh1.5N2,1.1967815,
