compound,overpotential,
Co0.3Mo2.7N2,0.9582217,
Ni0.3Re2.7N2,0.96494144,
Co0.3Re2.7N2,0.96494144,
Co0.6Re2.4N2,0.96494144,
Fe0.6Re2.4N2,0.96494144,
Ni0.6Pd2.4N2,0.9714097,
Cr0.6Pd2.4N2,0.9714097,
Fe1.5Re1.5N2,0.9714097,
Co0.3Pd2.7N2,0.9714097,
Fe0.3Pd2.7N2,0.9714097,
Mn0.3Pd2.7N2,0.9714097,
Cr0.3Pd2.7N2,0.9714097,
Co1.5Re1.5N2,0.9714097,
Ni0.6Re2.4N2,0.9714097,
Pd3N2,0.9714097,
Co0.6Pd2.4N2,0.9714097,
Mn1.5Os1.5N2,0.9714097,
Fe1.5Os1.5N2,0.9714097,
Fe0.6Pd2.4N2,0.9714097,
Mn0.6Pd2.4N2,0.9714097,
Ni0.3Pd2.7N2,0.9714097,
Co0.1Mo0.9N,0.97166294,
Ni0.1Mo0.9N,0.97166294,
Fe0.2Mo0.8N,0.97166294,
Co0.2Mo0.8N,0.97166294,
Co1.5W1.5N2,0.97983557,
Cr0.3Cd2.7N2,0.9821498,
Ni0.3Cd2.7N2,0.9821498,
Fe0.3Cd2.7N2,0.9821498,
Co0.3Cd2.7N2,0.9821498,
Mn0.6Cd2.4N2,0.9821498,
Fe0.6Cd2.4N2,0.9821498,
Co0.6Cd2.4N2,0.9821498,
Cd3N2,0.9821498,
Mn0.3Cd2.7N2,0.9821498,
Cr0.6Cd2.4N2,0.9821498,
Fe0.1Mo0.9N,0.991621,
Ni0.6Cd2.4N2,0.9995773,
Mn0.2Mo0.8N,1.016241,
Mn1.5Ir1.5N2,1.016316,
Cr0.2Mo0.8N,1.021811,
Mn0.1Mo0.9N,1.021811,
Cr0.1Mo0.9N,1.021811,
Ni1.5Re1.5N2,1.0431625,
Ni1.5Ta1.5N2,1.0515883,
Mn1.5Pd1.5N2,1.0526239,
Cr1.5Pd1.5N2,1.0526239,
Fe1.5Rh1.5N2,1.0526239,
Fe1.5Pd1.5N2,1.0526239,
Co1.5Pd1.5N2,1.0526239,
Fe1.5Ru1.5N2,1.0526239,
Mn1.5Rh1.5N2,1.0526239,
Fe1.5Mo1.5N2,1.0526239,
Co0.6Mo2.4N2,1.0526239,
Fe0.6Mo2.4N2,1.0526239,
Co1.5Mo1.5N2,1.0526239,
Re3N2,1.0574578,
Mn0.3Re2.7N2,1.0574578,
Cr0.6Re2.4N2,1.0574578,
Cr0.3Re2.7N2,1.0574578,
Fe0.3Re2.7N2,1.0574578,
Mn0.3W2.7N2,1.0625873,
Ni0.3Ta2.7N2,1.0625873,
Co0.3Ta2.7N2,1.0625873,
Fe0.3Ta2.7N2,1.0625873,
Cr0.3Ta2.7N2,1.0625873,
Co0.6Ta2.4N2,1.0625873,
Cr0.6Ta2.4N2,1.0625873,
Mn0.6W2.4N2,1.0625873,
Mn0.6Ta2.4N2,1.0625873,
Ta3N2,1.0625873,
Mn0.3Ta2.7N2,1.0625873,
Fe0.6Ta2.4N2,1.0625873,
Fe1.5Cd1.5N2,1.0633639,
Mn1.5Cd1.5N2,1.0633639,
Mn1.5W1.5N2,1.063926,
Co1.5Ta1.5N2,1.063926,
Fe1.5Ta1.5N2,1.063926,
Co1.5Hf1.5N2,1.063926,
Cr1.5Re1.5N2,1.063926,
Fe1.5W1.5N2,1.063926,
Ni0.6Ta2.4N2,1.0690554,
Cr1.5Ta1.5N2,1.0690554,
Fe1.5Hf1.5N2,1.0690554,
Fe0.6W2.4N2,1.0690554,
Fe0.3W2.7N2,1.0710131,
Cr1.5W1.5N2,1.0723518,
Cr0.5Mo0.5N,1.075382,
Mn0.6Re2.4N2,1.0799792,
MoN,1.0878874,
Fe1.5La1.5N2,1.091832,
Co1.5La1.5N2,1.091832,
Co1.5Ce1.5N2,1.091832,
Fe1.5Ce1.5N2,1.091832,
Co0.6Hf2.4N2,1.091832,
Co1.5Nb1.5N2,1.0975304,
Mo3N2,1.1002579,
Cr1.5Hf1.5N2,1.1050199,
Ni0.6Hf2.4N2,1.1050199,
Cr0.3W2.7N2,1.1074938,
Co0.3W2.7N2,1.1074938,
Cr0.6W2.4N2,1.1139619,
Co0.6W2.4N2,1.1139619,
Cr0.6Hf2.4N2,1.1143534,
Cr1.5Ce1.5N2,1.1143534,
Fe0.6Hf2.4N2,1.1143534,
Cr1.5La1.5N2,1.1143534,
Fe0.3Os2.7N2,1.118389,
Pt3N2,1.118389,
Co0.3Pt2.7N2,1.118389,
Os3N2,1.118389,
Cr0.3Os2.7N2,1.118389,
Co0.3Os2.7N2,1.118389,
Mn0.3Os2.7N2,1.118389,
Ni0.3Os2.7N2,1.118389,
Cr0.6Os2.4N2,1.118389,
Mn0.6Os2.4N2,1.118389,
Fe0.6Os2.4N2,1.118389,
Fe0.3Pt2.7N2,1.118389,
Co0.6Os2.4N2,1.118389,
Mn0.3Pt2.7N2,1.118389,
Co1.5Cd1.5N2,1.1243767,
Cr1.5Cd1.5N2,1.1243767,
Mn1.5Ag1.5N2,1.1243767,
Ni1.5Cd1.5N2,1.1243767,
Fe1.5Ag1.5N2,1.1243767,
Mn0.3Rh2.7N2,1.1248572,
Cr0.3Rh2.7N2,1.1248572,
Ni0.3Ru2.7N2,1.1248572,
Co0.3Ru2.7N2,1.1248572,
Fe0.3Ru2.7N2,1.1248572,
Co1.5Os1.5N2,1.1248572,
Co0.3Rh2.7N2,1.1248572,
Cr1.5Ir1.5N2,1.1248572,
Fe0.3Ir2.7N2,1.1248572,
Mn0.3Ir2.7N2,1.1248572,
Cr0.3Ir2.7N2,1.1248572,
Co1.5Pt1.5N2,1.1248572,
Fe1.5Pt1.5N2,1.1248572,
Cr1.5Pt1.5N2,1.1248572,
Mn0.3Ru2.7N2,1.1248572,
Co1.5Ir1.5N2,1.1248572,
Fe1.5Ir1.5N2,1.1248572,
Fe0.3Rh2.7N2,1.1248572,
Cr0.3Ru2.7N2,1.1248572,
Fe0.6Rh2.4N2,1.1248572,
Co0.3Ir2.7N2,1.1248572,
Co0.6Ir2.4N2,1.1248572,
Ni0.6Ir2.4N2,1.1248572,
Cr0.6Pt2.4N2,1.1248572,
Mn0.6Pt2.4N2,1.1248572,
Fe0.6Pt2.4N2,1.1248572,
Co0.6Pt2.4N2,1.1248572,
Ni0.6Pt2.4N2,1.1248572,
Ni0.3Pt2.7N2,1.1248572,
Co0.6Ru2.4N2,1.1248572,
Cr0.6Ir2.4N2,1.1248572,
Fe0.6Ir2.4N2,1.1248572,
Ni0.3Ir2.7N2,1.1248572,
Rh3N2,1.1248572,
Ru3N2,1.1248572,
Ni0.6Os2.4N2,1.1248572,
Co0.6Rh2.4N2,1.1248572,
Mn0.6Rh2.4N2,1.1248572,
Cr0.6Rh2.4N2,1.1248572,
Cr0.3Pt2.7N2,1.1248572,
Ni0.6Ru2.4N2,1.1248572,
Ir3N2,1.1248572,
Mn0.6Ir2.4N2,1.1248572,
Mn1.5Pt1.5N2,1.1263256,
Ni1.5Hf1.5N2,1.128039,
Ni0.3Mo2.7N2,1.1386243,
Fe0.3Mo2.7N2,1.1438015,
Fe1.5Nb1.5N2,1.1451402,
Mn0.6Mo2.4N2,1.1451402,
Mn1.5Mo1.5N2,1.1451402,
Cr0.3Hf2.7N2,1.1482054,
Mn1.5Ta1.5N2,1.1497716,
Mn3.0Hf3.0O7,1.1512594,
Fe0.6Mn5.4O7,1.1512594,
Fe0.2Mn0.8O3,1.1570038,
Co0.2Mn0.8O3,1.1570038,
Mn1.5Re1.5N2,1.1605726,
Ni0.2Cr0.8N,1.1621399,
Ni0.1Cr0.9N,1.1621399,
Fe0.2Cr0.8N,1.1621399,
Co0.2Cr0.8N,1.1621399,
Cr0.3Hf2.7O8,1.162778,
Cr0.3Hf2.7O7,1.162778,
Cr0.3Hf2.7O4,1.162778,
Cr0.3Hf2.7O5,1.162778,
Cr0.3Hf2.7O10,1.162778,
Fe0.2Mn0.8S2,1.1662753,
Co0.2Mn0.8S2,1.1662753,
Fe0.2Mn0.8O4,1.1662753,
Fe0.2Mn0.8O5,1.1662753,
Fe0.2Mn0.8O7,1.1662753,
Co0.2Mn0.8O10,1.1662753,
Co0.2Mn0.8O9,1.1662753,
Fe0.2Mn0.8O6,1.1662753,
Co0.2Mn0.8O4,1.1662753,
Fe0.2Mn0.8O10,1.1662753,
Co0.2Mn0.8O5,1.1662753,
Co0.2Mn0.8O8,1.1662753,
Fe0.2Mn0.8O9,1.1662753,
Co0.2Mn0.8O6,1.1662753,
Fe0.2Mn0.8O8,1.1662753,
Co0.2Mn0.8O7,1.1662753,
Fe0.2Mn0.8O,1.1664662,
Co0.2Mn0.8O,1.1664662,
Fe0.9Cd8.1O10,1.1666664,
Zn8O9,1.1666664,
Mn3.0Zn3.0O7,1.1666664,
Mn1.2Zn4.8O7,1.1666664,
Mn0.6Zn5.4O7,1.1666664,
Zn7O10,1.1666664,
Fe0.8Cd3.2O7,1.1666664,
MnZn4.0O9,1.1666664,
Fe0.8Zn7.2O9,1.1666664,
Mn0.5Zn4.5O9,1.1666664,
Hf9O10,1.1666664,
Fe1.4Zn5.6O10,1.1666664,
Fe0.7Zn6.3O10,1.1666664,
Hf8O9,1.1666664,
Fe1.4Zn5.6O9,1.1666664,
Zn7O9,1.1666664,
Zn7O8,1.1666664,
Zn6O7,1.1666664,
Zn9O10,1.1666664,
Mn2.5Zn2.5O9,1.1666664,
Fe1.4Cd5.6O9,1.1666664,
Fe1.4Cd5.6O10,1.1666664,
Fe0.4Cd3.6O9,1.1666664,
Fe0.8Cd3.2O9,1.1666664,
Fe0.5Cd4.5O6,1.1666664,
FeCd4.0O6,1.1666664,
Fe0.5Cd4.5O7,1.1666664,
Fe0.8Cd3.2O5,1.1666664,
FeCd4.0O7,1.1666664,
Fe0.5Cd4.5O8,1.1666664,
FeCd4.0O8,1.1666664,
Fe0.5Cd4.5O9,1.1666664,
FeCd4.0O9,1.1666664,
Fe0.6Cd5.4O7,1.1666664,
Mn1.4Zn5.6O8,1.1666664,
Fe1.2Cd4.8O7,1.1666664,
Fe0.7Cd6.3O8,1.1666664,
Fe1.4Cd5.6O8,1.1666664,
Fe0.7Cd6.3O9,1.1666664,
Fe0.4Cd3.6O7,1.1666664,
Fe0.7Cd6.3O10,1.1666664,
Fe0.8Cd7.2O9,1.1666664,
Fe0.4Cd3.6O5,1.1666664,
Fe0.6Zn5.4O7,1.1666664,
Fe1.4Zn5.6O8,1.1666664,
Cd6O7,1.1666664,
Cd5O9,1.1666664,
Cd5O8,1.1666664,
Cd5O7,1.1666664,
Cd5O6,1.1666664,
Cd4O9,1.1666664,
Fe0.5Zn4.5O9,1.1666664,
Cd4O7,1.1666664,
FeZn4.0O8,1.1666664,
Fe0.5Zn4.5O8,1.1666664,
Cd4O5,1.1666664,
FeZn4.0O7,1.1666664,
Fe1.2Hf4.8O7,1.1666664,
Fe0.7Hf6.3O8,1.1666664,
Fe1.4Hf5.6O8,1.1666664,
Fe0.7Hf6.3O9,1.1666664,
Fe1.4Hf5.6O9,1.1666664,
Fe0.7Hf6.3O10,1.1666664,
Fe1.4Hf5.6O10,1.1666664,
Fe0.8Hf7.2O9,1.1666664,
Fe0.9Hf8.1O10,1.1666664,
Mn0.5Zn4.5O6,1.1666664,
Fe0.5Zn4.5O7,1.1666664,
FeZn4.0O6,1.1666664,
Fe0.5Zn4.5O6,1.1666664,
Cd7O8,1.1666664,
Cd7O9,1.1666664,
Cd7O10,1.1666664,
Cd8O9,1.1666664,
Fe0.7Zn6.3O8,1.1666664,
Fe1.2Zn4.8O7,1.1666664,
Zn5O9,1.1666664,
FeZn4.0O9,1.1666664,
Mn2.5Zn2.5O8,1.1666664,
MnZn4.0O8,1.1666664,
Mn0.5Zn4.5O8,1.1666664,
Mn2.5Zn2.5O7,1.1666664,
MnZn4.0O7,1.1666664,
Mn0.5Zn4.5O7,1.1666664,
Mn2.5Zn2.5O6,1.1666664,
MnZn4.0O6,1.1666664,
Fe0.7Zn6.3O9,1.1666664,
Mn1.2Hf4.8O7,1.1666664,
Mn1.4Hf5.6O8,1.1666664,
Mn0.7Hf6.3O9,1.1666664,
Mn1.4Hf5.6O9,1.1666664,
Mn0.7Hf6.3O10,1.1666664,
Mn1.4Hf5.6O10,1.1666664,
Mn0.8Hf7.2O9,1.1666664,
Mn1.6Hf6.4O9,1.1666664,
Mn4.0Hf4.0O9,1.1666664,
Mn0.9Hf8.1O10,1.1666664,
Mn1.8Hf7.2O10,1.1666664,
Mn4.5Hf4.5O10,1.1666664,
Cd9O10,1.1666664,
Mn0.7Hf6.3O8,1.1666664,
Zn5O8,1.1666664,
Mn0.7Zn6.3O8,1.1666664,
Zn5O6,1.1666664,
Mn3.5Zn3.5O10,1.1666664,
Mn0.8Zn7.2O9,1.1666664,
Mn2.5Cd2.5O6,1.1666664,
Mn0.5Cd4.5O7,1.1666664,
Mn1.6Zn6.4O9,1.1666664,
MnCd4.0O7,1.1666664,
Mn1.4Zn5.6O10,1.1666664,
Mn2.5Cd2.5O7,1.1666664,
MnCd4.0O8,1.1666664,
Mn2.5Cd2.5O8,1.1666664,
Mn0.5Cd4.5O9,1.1666664,
Mn0.8Cd3.2O7,1.1666664,
Mn2.5Cd2.5O9,1.1666664,
Mn0.6Cd5.4O7,1.1666664,
Mn0.5Cd4.5O8,1.1666664,
Mn1.2Cd4.8O7,1.1666664,
Fe1.4Mn5.6O10,1.1666664,
Mn0.7Zn6.3O9,1.1666664,
Mn2.0Cd2.0O7,1.1666664,
Mn0.4Cd3.6O9,1.1666664,
Mn0.8Cd3.2O9,1.1666664,
Mn2.0Cd2.0O9,1.1666664,
Mn2.0Cd2.0O5,1.1666664,
Mn0.8Cd3.2O5,1.1666664,
Fe1.4Mn5.6O9,1.1666664,
Mn0.5Cd4.5O6,1.1666664,
Mn1.4Zn5.6O9,1.1666664,
MnCd4.0O6,1.1666664,
Fe0.9Zn8.1O10,1.1666664,
Mn3.5Zn3.5O9,1.1666664,
Mn0.7Zn6.3O10,1.1666664,
Fe1.4Mn5.6O8,1.1666664,
Mn0.4Cd3.6O5,1.1666664,
Mn3.0Cd3.0O7,1.1666664,
MnCd4.0O9,1.1666664,
Mn1.4Cd5.6O8,1.1666664,
Mn3.5Zn3.5O8,1.1666664,
Mn4.5Cd4.5O10,1.1666664,
Mn1.8Cd7.2O10,1.1666664,
Mn4.5Zn4.5O10,1.1666664,
Mn0.9Cd8.1O10,1.1666664,
Mn4.0Cd4.0O9,1.1666664,
Mn0.7Cd6.3O8,1.1666664,
Zn5O7,1.1666664,
Mn1.8Zn7.2O10,1.1666664,
Mn0.9Zn8.1O10,1.1666664,
Mn0.4Cd3.6O7,1.1666664,
Mn3.5Cd3.5O8,1.1666664,
Mn1.6Cd6.4O9,1.1666664,
Mn0.8Cd7.2O9,1.1666664,
Mn0.7Cd6.3O9,1.1666664,
Mn1.4Cd5.6O9,1.1666664,
Mn4.0Zn4.0O9,1.1666664,
Mn3.5Cd3.5O10,1.1666664,
Mn1.4Cd5.6O10,1.1666664,
Mn3.5Cd3.5O9,1.1666664,
Mn0.7Cd6.3O10,1.1666664,
Mn6O7,1.16719,
Mn7O10,1.16719,
Mn7O9,1.16719,
Mn7O8,1.16719,
Mn2.5Hf2.5O9,1.16719,
Mn2.5Hf2.5O8,1.16719,
Mn2.5Hf2.5O7,1.16719,
Mn2.5Hf2.5O6,1.16719,
Mn9O10,1.16719,
Mn8O9,1.16719,
Fe1.2Mn4.8O7,1.169158,
Hf3N2,1.1700534,
Co0.2Mn0.8O2,1.1704363,
Fe0.2Mn0.8O2,1.1704363,
Fe1.5Zr1.5N2,1.1707975,
Co0.6Y2.4N2,1.1712248,
Co0.3Hf2.7N2,1.1725482,
Mn0.3Mo2.7N2,1.1730462,
Hf4O7,1.1754152,
Hf4O5,1.1754152,
Hf4O9,1.1754152,
Mn0.6Cd2.4O4,1.1776029,
Cr0.3Cd2.7O4,1.1776029,
Mn0.3Cd2.7O4,1.1776029,
Fe0.6Cd2.4O4,1.1776029,
Fe0.3Cd2.7O4,1.1776029,
Cd3O4,1.1776029,
Co0.3Cd2.7O4,1.1776029,
Fe0.7Mn6.3O9,1.178774,
Fe0.9Mn8.1O10,1.178774,
Fe0.8Mn7.2O9,1.178774,
Mn3.5Hf3.5O8,1.178774,
Mn3.5Hf3.5O9,1.178774,
Mn3.5Hf3.5O10,1.178774,
Fe0.7Mn6.3O10,1.178774,
Fe0.7Mn6.3O8,1.178774,
Mn0.5Hf0.5N,1.1815199,
HfN,1.1815199,
Mn0.2Hf0.8N,1.1815199,
Co0.2Hf0.8N,1.1815199,
Cr0.2Ce0.8N,1.1815199,
Mn0.2Ce0.8N,1.1815199,
Cr0.1La0.9N,1.1815199,
Mn0.1La0.9N,1.1815199,
Fe0.2Ce0.8N,1.1815199,
Co0.2Ce0.8N,1.1815199,
Fe0.1La0.9N,1.1815199,
Fe0.1Ce0.9N,1.1815199,
Co0.1Ce0.9N,1.1815199,
Ni0.1Ce0.9N,1.1815199,
Mn0.1Ce0.9N,1.1815199,
Cr0.1Ce0.9N,1.1815199,
Co0.1La0.9N,1.1815199,
Ni0.1La0.9N,1.1815199,
Cr0.5Hf0.5N,1.1815199,
Ni0.2Hf0.8N,1.1815199,
Fe0.2Hf0.8N,1.1815199,
LaN,1.1815199,
Mn0.1Hf0.9N,1.1815199,
Cr0.2La0.8N,1.1815199,
Co0.2La0.8N,1.1815199,
Mn0.2La0.8N,1.1815199,
Fe0.2La0.8N,1.1815199,
Ni0.1Hf0.9N,1.1815199,
Co0.1Hf0.9N,1.1815199,
CeN,1.1815199,
Cr0.2Hf0.8N,1.1815199,
Fe0.1Hf0.9N,1.1815199,
Cr0.1Hf0.9N,1.1815199,
Ni0.2Hf1.8N,1.1837778,
Mn0.4Hf1.6N,1.1837778,
Hf3O10,1.184626,
Hf3O8,1.184626,
Hf3O5,1.184626,
Hf3O4,1.184626,
Hf3O7,1.184626,
Ni0.3Hf2.7N2,1.1857361,
Co1.5Y1.5N2,1.1862341,
Mn0.6Nb2.4N2,1.1862341,
Cr0.6Mo2.4N2,1.1862341,
Cr1.5Mo1.5N2,1.1862341,
Fe1.5Y1.5N2,1.1862341,
Co0.3Hf2.7O5,1.1871208,
