compound,overpotential,
Co0.3Mo2.7N2,0.8257397,
Ni0.3Re2.7N2,0.83245945,
Fe0.6Re2.4N2,0.83245945,
Co0.6Re2.4N2,0.83245945,
Co0.3Re2.7N2,0.83245945,
Fe0.3Pd2.7N2,0.8389277,
Mn0.3Pd2.7N2,0.8389277,
Cr0.3Pd2.7N2,0.8389277,
Fe1.5Re1.5N2,0.8389277,
Co1.5Re1.5N2,0.8389277,
Co0.3Pd2.7N2,0.8389277,
Mn1.5Os1.5N2,0.8389277,
Cr0.6Pd2.4N2,0.8389277,
Ni0.3Pd2.7N2,0.8389277,
Fe0.6Pd2.4N2,0.8389277,
Co0.6Pd2.4N2,0.8389277,
Ni0.6Pd2.4N2,0.8389277,
Pd3N2,0.8389277,
Fe1.5Os1.5N2,0.8389277,
Mn0.6Pd2.4N2,0.8389277,
Ni0.6Re2.4N2,0.8389277,
Co1.5W1.5N2,0.8473536,
Mn0.6Cd2.4N2,0.8496678,
Cr0.6Cd2.4N2,0.8496678,
Cr0.3Cd2.7N2,0.8496678,
Ni0.3Cd2.7N2,0.8496678,
Fe0.3Cd2.7N2,0.8496678,
Co0.3Cd2.7N2,0.8496678,
Co0.6Cd2.4N2,0.8496678,
Cd3N2,0.8496678,
Mn0.3Cd2.7N2,0.8496678,
Fe0.6Cd2.4N2,0.8496678,
Ni0.6Cd2.4N2,0.8670953,
Co0.1Mo0.9N,0.88117045,
Ni0.1Mo0.9N,0.88117045,
Co0.2Mo0.8N,0.88117045,
Fe0.2Mo0.8N,0.88117045,
Mn1.5Ir1.5N2,0.88383424,
Fe0.1Mo0.9N,0.90112853,
Ni1.5Re1.5N2,0.9106805,
Ni1.5Ta1.5N2,0.91910636,
Co1.5Pd1.5N2,0.9201417,
Fe1.5Pd1.5N2,0.9201417,
Mn1.5Pd1.5N2,0.9201417,
Cr1.5Pd1.5N2,0.9201417,
Fe1.5Rh1.5N2,0.9201417,
Fe0.6Mo2.4N2,0.9201417,
Fe1.5Ru1.5N2,0.9201417,
Co1.5Mo1.5N2,0.9201417,
Fe1.5Mo1.5N2,0.9201417,
Mn1.5Rh1.5N2,0.9201417,
Co0.6Mo2.4N2,0.9201417,
Re3N2,0.9249756,
Cr0.6Re2.4N2,0.9249756,
Fe0.3Re2.7N2,0.9249756,
