compound,overpotential,
Co0.1Mo0.9N,1.1525476,
Fe0.2Mo0.8N,1.1525476,
Ni0.1Mo0.9N,1.1525476,
Co0.2Mo0.8N,1.1525476,
Co0.3Mo2.7N2,1.1636716,
Fe0.1Mo0.9N,1.1725056,
Fe0.3Cd2.7N2,1.1874458,
Co0.3Cd2.7N2,1.1874458,
Ni0.3Cd2.7N2,1.1874458,
Cr0.6Cd2.4N2,1.1874458,
Co0.6Cd2.4N2,1.1874458,
Fe0.6Cd2.4N2,1.1874458,
Mn0.6Cd2.4N2,1.1874458,
Cd3N2,1.1874458,
Cr0.3Cd2.7N2,1.1874458,
Mn0.3Cd2.7N2,1.1874458,
Ni0.3Re2.7N2,1.1890837,
Co0.3Re2.7N2,1.1890837,
Co0.6Re2.4N2,1.1890837,
Fe0.6Re2.4N2,1.1890837,
Co0.6Pd2.4N2,1.1907669,
Pd3N2,1.1907669,
Ni0.6Re2.4N2,1.1907669,
Ni0.6Pd2.4N2,1.1907669,
Fe1.5Re1.5N2,1.1907669,
Co1.5Re1.5N2,1.1907669,
Fe0.6Pd2.4N2,1.1907669,
Mn1.5Os1.5N2,1.1907669,
Fe1.5Os1.5N2,1.1907669,
Mn0.3Pd2.7N2,1.1907669,
Mn0.6Pd2.4N2,1.1907669,
Cr0.6Pd2.4N2,1.1907669,
Fe0.3Pd2.7N2,1.1907669,
Co0.3Pd2.7N2,1.1907669,
Ni0.3Pd2.7N2,1.1907669,
Cr0.3Pd2.7N2,1.1907669,
Co1.5W1.5N2,1.1991928,
Ni0.6Cd2.4N2,1.2048733,
Mn0.2Mo0.8N,1.2074006,
Mn1.5Ir1.5N2,1.2090812,
Fe0.2Mn0.8O,1.2204205,
Co0.2Mn0.8O,1.2204205,
Cr0.2Mo0.8N,1.2259372,
Cr0.1Mo0.9N,1.2259372,
Mn0.1Mo0.9N,1.2259372,
Co0.2Mn0.8O3,1.229773,
Fe0.2Mn0.8O3,1.229773,
Co0.2Mn0.8O4,1.2390445,
Fe0.2Mn0.8O4,1.2390445,
Fe0.2Mn0.8O2,1.2432055,
Co0.2Mn0.8O2,1.2432055,
Ni1.5Re1.5N2,1.2484585,
Fe1.5Cd1.5N2,1.2566574,
Mn1.5Cd1.5N2,1.2566574,
Ni1.5Ta1.5N2,1.2568843,
Co1.5Pd1.5N2,1.2599785,
Fe1.5Pd1.5N2,1.2599785,
Mn1.5Pd1.5N2,1.2599785,
