,compound
3649,Cr0.2Co0.8O5
3650,Cr0.5Co0.5O5
3651,Cr0.1Co0.9O6
3652,Cr0.2Co0.8O6
3653,Cr0.5Co0.5O6
3654,Cr0.1Co0.9O7
3655,Cr0.2Co0.8O7
3656,Cr0.5Co0.5O7
3657,Cr0.1Co0.9O8
3658,Cr0.2Co0.8O8
3659,Cr0.5Co0.5O8
3660,Cr0.1Co0.9O9
3661,Cr0.2Co0.8O9
3662,Cr0.5Co0.5O9
3663,Cr0.1Co0.9O10
3664,Cr0.2Co0.8O10
3665,Cr0.5Co0.5O10
3666,Cr0.2Co1.8O3
3667,Cr0.4Co1.6O3
3668,CrCoO3
3669,Cr0.2Co1.8O5
3670,Cr0.4Co1.6O5
3671,CrCoO5
3672,Cr0.2Co1.8O7
3673,Cr0.4Co1.6O7
3674,CrCoO7
3675,Cr0.2Co1.8O9
3676,Cr0.4Co1.6O9
3677,CrCoO9
3678,Cr0.3Co2.7O4
3679,Cr0.6Co2.4O4
3680,Cr1.5Co1.5O4
3681,Cr0.3Co2.7O5
3682,Cr0.6Co2.4O5
3683,Cr1.5Co1.5O5
3684,Cr0.3Co2.7O7
3685,Cr0.6Co2.4O7
3686,Cr1.5Co1.5O7
3687,Cr0.3Co2.7O8
3688,Cr0.6Co2.4O8
3689,Cr1.5Co1.5O8
3690,Cr0.3Co2.7O10
3691,Cr0.6Co2.4O10
3692,Cr1.5Co1.5O10
3693,Cr0.4Co3.6O5
3694,Cr0.8Co3.2O5
3695,Cr2.0Co2.0O5
3696,Cr0.4Co3.6O7
3697,Cr0.8Co3.2O7
3698,Cr2.0Co2.0O7
3699,Cr0.4Co3.6O9
3700,Cr0.8Co3.2O9
3701,Cr2.0Co2.0O9
3702,Cr0.5Co4.5O6
3703,CrCo4.0O6
3704,Cr2.5Co2.5O6
3705,Cr0.5Co4.5O7
3706,CrCo4.0O7
3707,Cr2.5Co2.5O7
3708,Cr0.5Co4.5O8
3709,CrCo4.0O8
3710,Cr2.5Co2.5O8
3711,Cr0.5Co4.5O9
3712,CrCo4.0O9
3713,Cr2.5Co2.5O9
3714,Cr0.6Co5.4O7
3715,Cr1.2Co4.8O7
3716,Cr3.0Co3.0O7
3717,Cr0.7Co6.3O8
3718,Cr1.4Co5.6O8
3719,Cr3.5Co3.5O8
3720,Cr0.7Co6.3O9
3721,Cr1.4Co5.6O9
3722,Cr3.5Co3.5O9
3723,Cr0.7Co6.3O10
3724,Cr1.4Co5.6O10
3725,Cr3.5Co3.5O10
3726,Cr0.8Co7.2O9
3727,Cr1.6Co6.4O9
3728,Cr4.0Co4.0O9
3729,Cr0.9Co8.1O10
3730,Cr1.8Co7.2O10
3731,Cr4.5Co4.5O10
3732,Mn0.1Co0.9O
3733,Mn0.2Co0.8O
3734,Mn0.5Co0.5O
3735,Mn0.1Co0.9O2
3736,Mn0.2Co0.8O2
3737,Mn0.5Co0.5O2
3738,Mn0.1Co0.9O3
3739,Mn0.2Co0.8O3
3740,Mn0.5Co0.5O3
3741,Mn0.1Co0.9O4
3742,Mn0.2Co0.8O4
3743,Mn0.5Co0.5O4
3744,Mn0.1Co0.9O5
3745,Mn0.2Co0.8O5
3746,Mn0.5Co0.5O5
3747,Mn0.1Co0.9O6
3748,Mn0.2Co0.8O6
3749,Mn0.5Co0.5O6
3750,Mn0.1Co0.9O7
3751,Mn0.2Co0.8O7
3752,Mn0.5Co0.5O7
3753,Mn0.1Co0.9O8
3754,Mn0.2Co0.8O8
3755,Mn0.5Co0.5O8
3756,Mn0.1Co0.9O9
3757,Mn0.2Co0.8O9
3758,Mn0.5Co0.5O9
3759,Mn0.1Co0.9O10
3760,Mn0.2Co0.8O10
3761,Mn0.5Co0.5O10
3762,Mn0.2Co1.8O3
3763,Mn0.4Co1.6O3
3764,MnCoO3
3765,Mn0.2Co1.8O5
3766,Mn0.4Co1.6O5
3767,MnCoO5
3768,Mn0.2Co1.8O7
3769,Mn0.4Co1.6O7
3770,MnCoO7
3771,Mn0.2Co1.8O9
3772,Mn0.4Co1.6O9
3773,MnCoO9
3774,Mn0.3Co2.7O4
3775,Mn0.6Co2.4O4
3776,Mn1.5Co1.5O4
3777,Mn0.3Co2.7O5
3778,Mn0.6Co2.4O5
3779,Mn1.5Co1.5O5
3780,Mn0.3Co2.7O7
3781,Mn0.6Co2.4O7
3782,Mn1.5Co1.5O7
3783,Mn0.3Co2.7O8
3784,Mn0.6Co2.4O8
3785,Mn1.5Co1.5O8
3786,Mn0.3Co2.7O10
3787,Mn0.6Co2.4O10
3788,Mn1.5Co1.5O10
3789,Mn0.4Co3.6O5
3790,Mn0.8Co3.2O5
3791,Mn2.0Co2.0O5
3792,Mn0.4Co3.6O7
3793,Mn0.8Co3.2O7
3794,Mn2.0Co2.0O7
3795,Mn0.4Co3.6O9
3796,Mn0.8Co3.2O9
3797,Mn2.0Co2.0O9
3798,Mn0.5Co4.5O6
3799,MnCo4.0O6
3800,Mn2.5Co2.5O6
3801,Mn0.5Co4.5O7
3802,MnCo4.0O7
3803,Mn2.5Co2.5O7
3804,Mn0.5Co4.5O8
3805,MnCo4.0O8
3806,Mn2.5Co2.5O8
3807,Mn0.5Co4.5O9
3808,MnCo4.0O9
3809,Mn2.5Co2.5O9
3810,Mn0.6Co5.4O7
3811,Mn1.2Co4.8O7
3812,Mn3.0Co3.0O7
3813,Mn0.7Co6.3O8
3814,Mn1.4Co5.6O8
3815,Mn3.5Co3.5O8
3816,Mn0.7Co6.3O9
3817,Mn1.4Co5.6O9
3818,Mn3.5Co3.5O9
3819,Mn0.7Co6.3O10
3820,Mn1.4Co5.6O10
3821,Mn3.5Co3.5O10
3822,Mn0.8Co7.2O9
3823,Mn1.6Co6.4O9
3824,Mn4.0Co4.0O9
3825,Mn0.9Co8.1O10
3826,Mn1.8Co7.2O10
3827,Mn4.5Co4.5O10
3828,Fe0.1Co0.9O
3829,Fe0.2Co0.8O
3830,Fe0.5Co0.5O
3831,Fe0.1Co0.9O2
3832,Fe0.2Co0.8O2
3833,Fe0.5Co0.5O2
3834,Fe0.1Co0.9O3
3835,Fe0.2Co0.8O3
3836,Fe0.5Co0.5O3
3837,Fe0.1Co0.9O4
3838,Fe0.2Co0.8O4
3839,Fe0.5Co0.5O4
3840,Fe0.1Co0.9O5
3841,Fe0.2Co0.8O5
3842,Fe0.5Co0.5O5
3843,Fe0.1Co0.9O6
3844,Fe0.2Co0.8O6
3845,Fe0.5Co0.5O6
3846,Fe0.1Co0.9O7
3847,Fe0.2Co0.8O7
3848,Fe0.5Co0.5O7
3849,Fe0.1Co0.9O8
3850,Fe0.2Co0.8O8
3851,Fe0.5Co0.5O8
3852,Fe0.1Co0.9O9
3853,Fe0.2Co0.8O9
3854,Fe0.5Co0.5O9
3855,Fe0.1Co0.9O10
3856,Fe0.2Co0.8O10
3857,Fe0.5Co0.5O10
3858,Fe0.2Co1.8O3
3859,Fe0.4Co1.6O3
3860,FeCoO3
3861,Fe0.2Co1.8O5
3862,Fe0.4Co1.6O5
3863,FeCoO5
3864,Fe0.2Co1.8O7
3865,Fe0.4Co1.6O7
3866,FeCoO7
3867,Fe0.2Co1.8O9
3868,Fe0.4Co1.6O9
3869,FeCoO9
3870,Fe0.3Co2.7O4
3871,Fe0.6Co2.4O4
3872,Fe1.5Co1.5O4
3873,Fe0.3Co2.7O5
3874,Fe0.6Co2.4O5
3875,Fe1.5Co1.5O5
3876,Fe0.3Co2.7O7
3877,Fe0.6Co2.4O7
3878,Fe1.5Co1.5O7
3879,Fe0.3Co2.7O8
3880,Fe0.6Co2.4O8
3881,Fe1.5Co1.5O8
3882,Fe0.3Co2.7O10
3883,Fe0.6Co2.4O10
3884,Fe1.5Co1.5O10
3885,Fe0.4Co3.6O5
3886,Fe0.8Co3.2O5
3887,Fe2.0Co2.0O5
3888,Fe0.4Co3.6O7
3889,Fe0.8Co3.2O7
3890,Fe2.0Co2.0O7
3891,Fe0.4Co3.6O9
3892,Fe0.8Co3.2O9
3893,Fe2.0Co2.0O9
3894,Fe0.5Co4.5O6
3895,FeCo4.0O6
3896,Fe2.5Co2.5O6
3897,Fe0.5Co4.5O7
3898,FeCo4.0O7
3899,Fe2.5Co2.5O7
3900,Fe0.5Co4.5O8
3901,FeCo4.0O8
3902,Fe2.5Co2.5O8
3903,Fe0.5Co4.5O9
3904,FeCo4.0O9
3905,Fe2.5Co2.5O9
3906,Fe0.6Co5.4O7
3907,Fe1.2Co4.8O7
3908,Fe3.0Co3.0O7
3909,Fe0.7Co6.3O8
3910,Fe1.4Co5.6O8
3911,Fe3.5Co3.5O8
3912,Fe0.7Co6.3O9
3913,Fe1.4Co5.6O9
3914,Fe3.5Co3.5O9
3915,Fe0.7Co6.3O10
3916,Fe1.4Co5.6O10
3917,Fe3.5Co3.5O10
3918,Fe0.8Co7.2O9
3919,Fe1.6Co6.4O9
3920,Fe4.0Co4.0O9
3921,Fe0.9Co8.1O10
3922,Fe1.8Co7.2O10
3923,Fe4.5Co4.5O10
3924,Ni0.1Co0.9O
3925,Ni0.2Co0.8O
3926,Ni0.5Co0.5O
3927,Ni0.1Co0.9O2
3928,Ni0.2Co0.8O2
3929,Ni0.5Co0.5O2
3930,Ni0.1Co0.9O3
3931,Ni0.2Co0.8O3
3932,Ni0.5Co0.5O3
3933,Ni0.1Co0.9O4
3934,Ni0.2Co0.8O4
3935,Ni0.5Co0.5O4
3936,Ni0.1Co0.9O5
3937,Ni0.2Co0.8O5
3938,Ni0.5Co0.5O5
3939,Ni0.1Co0.9O6
3940,Ni0.2Co0.8O6
3941,Ni0.5Co0.5O6
3942,Ni0.1Co0.9O7
3943,Ni0.2Co0.8O7
3944,Ni0.5Co0.5O7
3945,Ni0.1Co0.9O8
3946,Ni0.2Co0.8O8
3947,Ni0.5Co0.5O8
3948,Ni0.1Co0.9O9
3949,Ni0.2Co0.8O9
3950,Ni0.5Co0.5O9
3951,Ni0.1Co0.9O10
3952,Ni0.2Co0.8O10
3953,Ni0.5Co0.5O10
3954,Ni0.2Co1.8O3
3955,Ni0.4Co1.6O3
3956,NiCoO3
3957,Ni0.2Co1.8O5
3958,Ni0.4Co1.6O5
3959,NiCoO5
3960,Ni0.2Co1.8O7
3961,Ni0.4Co1.6O7
3962,NiCoO7
3963,Ni0.2Co1.8O9
3964,Ni0.4Co1.6O9
3965,NiCoO9
3966,Ni0.3Co2.7O4
3967,Ni0.6Co2.4O4
3968,Ni1.5Co1.5O4
3969,Ni0.3Co2.7O5
3970,Ni0.6Co2.4O5
3971,Ni1.5Co1.5O5
3972,Ni0.3Co2.7O7
3973,Ni0.6Co2.4O7
3974,Ni1.5Co1.5O7
3975,Ni0.3Co2.7O8
3976,Ni0.6Co2.4O8
3977,Ni1.5Co1.5O8
3978,Ni0.3Co2.7O10
3979,Ni0.6Co2.4O10
3980,Ni1.5Co1.5O10
3981,Ni0.4Co3.6O5
3982,Ni0.8Co3.2O5
3983,Ni2.0Co2.0O5
3984,Ni0.4Co3.6O7
3985,Ni0.8Co3.2O7
3986,Ni2.0Co2.0O7
3987,Ni0.4Co3.6O9
3988,Ni0.8Co3.2O9
3989,Ni2.0Co2.0O9
3990,Ni0.5Co4.5O6
3991,NiCo4.0O6
3992,Ni2.5Co2.5O6
3993,Ni0.5Co4.5O7
3994,NiCo4.0O7
3995,Ni2.5Co2.5O7
3996,Ni0.5Co4.5O8
3997,NiCo4.0O8
3998,Ni2.5Co2.5O8
3999,Ni0.5Co4.5O9
4000,NiCo4.0O9
4001,Ni2.5Co2.5O9
4002,Ni0.6Co5.4O7
4003,Ni1.2Co4.8O7
4004,Ni3.0Co3.0O7
4005,Ni0.7Co6.3O8
4006,Ni1.4Co5.6O8
4007,Ni3.5Co3.5O8
4008,Ni0.7Co6.3O9
4009,Ni1.4Co5.6O9
4010,Ni3.5Co3.5O9
4011,Ni0.7Co6.3O10
4012,Ni1.4Co5.6O10
4013,Ni3.5Co3.5O10
4014,Ni0.8Co7.2O9
4015,Ni1.6Co6.4O9
4016,Ni4.0Co4.0O9
4017,Ni0.9Co8.1O10
4018,Ni1.8Co7.2O10
4019,Ni4.5Co4.5O10
4020,Cr0.1Ni0.9O
4021,Cr0.2Ni0.8O
4022,Cr0.5Ni0.5O
4023,Cr0.1Ni0.9O2
4024,Cr0.2Ni0.8O2
4025,Cr0.5Ni0.5O2
4026,Cr0.1Ni0.9O3
4027,Cr0.2Ni0.8O3
4028,Cr0.5Ni0.5O3
4029,Cr0.1Ni0.9O4
4030,Cr0.2Ni0.8O4
4031,Cr0.5Ni0.5O4
4032,Cr0.1Ni0.9O5
4033,Cr0.2Ni0.8O5
4034,Cr0.5Ni0.5O5
4035,Cr0.1Ni0.9O6
4036,Cr0.2Ni0.8O6
4037,Cr0.5Ni0.5O6
4038,Cr0.1Ni0.9O7
4039,Cr0.2Ni0.8O7
4040,Cr0.5Ni0.5O7
4041,Cr0.1Ni0.9O8
4042,Cr0.2Ni0.8O8
4043,Cr0.5Ni0.5O8
4044,Cr0.1Ni0.9O9
4045,Cr0.2Ni0.8O9
4046,Cr0.5Ni0.5O9
4047,Cr0.1Ni0.9O10
4048,Cr0.2Ni0.8O10
4049,Cr0.5Ni0.5O10
4050,Cr0.2Ni1.8O3
4051,Cr0.4Ni1.6O3
4052,CrNiO3
4053,Cr0.2Ni1.8O5
4054,Cr0.4Ni1.6O5
4055,CrNiO5
4056,Cr0.2Ni1.8O7
4057,Cr0.4Ni1.6O7
4058,CrNiO7
4059,Cr0.2Ni1.8O9
4060,Cr0.4Ni1.6O9
4061,CrNiO9
4062,Cr0.3Ni2.7O4
4063,Cr0.6Ni2.4O4
4064,Cr1.5Ni1.5O4
4065,Cr0.3Ni2.7O5
4066,Cr0.6Ni2.4O5
4067,Cr1.5Ni1.5O5
4068,Cr0.3Ni2.7O7
4069,Cr0.6Ni2.4O7
4070,Cr1.5Ni1.5O7
4071,Cr0.3Ni2.7O8
4072,Cr0.6Ni2.4O8
4073,Cr1.5Ni1.5O8
4074,Cr0.3Ni2.7O10
4075,Cr0.6Ni2.4O10
4076,Cr1.5Ni1.5O10
4077,Cr0.4Ni3.6O5
4078,Cr0.8Ni3.2O5
4079,Cr2.0Ni2.0O5
4080,Cr0.4Ni3.6O7
4081,Cr0.8Ni3.2O7
4082,Cr2.0Ni2.0O7
4083,Cr0.4Ni3.6O9
4084,Cr0.8Ni3.2O9
4085,Cr2.0Ni2.0O9
4086,Cr0.5Ni4.5O6
4087,CrNi4.0O6
4088,Cr2.5Ni2.5O6
4089,Cr0.5Ni4.5O7
4090,CrNi4.0O7
4091,Cr2.5Ni2.5O7
4092,Cr0.5Ni4.5O8
4093,CrNi4.0O8
4094,Cr2.5Ni2.5O8
4095,Cr0.5Ni4.5O9
4096,CrNi4.0O9
4097,Cr2.5Ni2.5O9
4098,Cr0.6Ni5.4O7
4099,Cr1.2Ni4.8O7
4100,Cr3.0Ni3.0O7
4101,Cr0.7Ni6.3O8
4102,Cr1.4Ni5.6O8
4103,Cr3.5Ni3.5O8
4104,Cr0.7Ni6.3O9
4105,Cr1.4Ni5.6O9
4106,Cr3.5Ni3.5O9
4107,Cr0.7Ni6.3O10
4108,Cr1.4Ni5.6O10
4109,Cr3.5Ni3.5O10
4110,Cr0.8Ni7.2O9
4111,Cr1.6Ni6.4O9
4112,Cr4.0Ni4.0O9
4113,Cr0.9Ni8.1O10
4114,Cr1.8Ni7.2O10
4115,Cr4.5Ni4.5O10
4116,Mn0.1Ni0.9O
4117,Mn0.2Ni0.8O
4118,Mn0.5Ni0.5O
4119,Mn0.1Ni0.9O2
4120,Mn0.2Ni0.8O2
4121,Mn0.5Ni0.5O2
4122,Mn0.1Ni0.9O3
4123,Mn0.2Ni0.8O3
4124,Mn0.5Ni0.5O3
4125,Mn0.1Ni0.9O4
4126,Mn0.2Ni0.8O4
4127,Mn0.5Ni0.5O4
4128,Mn0.1Ni0.9O5
4129,Mn0.2Ni0.8O5
4130,Mn0.5Ni0.5O5
4131,Mn0.1Ni0.9O6
4132,Mn0.2Ni0.8O6
4133,Mn0.5Ni0.5O6
4134,Mn0.1Ni0.9O7
4135,Mn0.2Ni0.8O7
4136,Mn0.5Ni0.5O7
4137,Mn0.1Ni0.9O8
4138,Mn0.2Ni0.8O8
4139,Mn0.5Ni0.5O8
4140,Mn0.1Ni0.9O9
4141,Mn0.2Ni0.8O9
4142,Mn0.5Ni0.5O9
4143,Mn0.1Ni0.9O10
4144,Mn0.2Ni0.8O10
4145,Mn0.5Ni0.5O10
4146,Mn0.2Ni1.8O3
4147,Mn0.4Ni1.6O3
4148,MnNiO3
4149,Mn0.2Ni1.8O5
4150,Mn0.4Ni1.6O5
4151,MnNiO5
4152,Mn0.2Ni1.8O7
4153,Mn0.4Ni1.6O7
4154,MnNiO7
4155,Mn0.2Ni1.8O9
4156,Mn0.4Ni1.6O9
4157,MnNiO9
4158,Mn0.3Ni2.7O4
4159,Mn0.6Ni2.4O4
4160,Mn1.5Ni1.5O4
4161,Mn0.3Ni2.7O5
4162,Mn0.6Ni2.4O5
4163,Mn1.5Ni1.5O5
4164,Mn0.3Ni2.7O7
4165,Mn0.6Ni2.4O7
4166,Mn1.5Ni1.5O7
4167,Mn0.3Ni2.7O8
4168,Mn0.6Ni2.4O8
4169,Mn1.5Ni1.5O8
4170,Mn0.3Ni2.7O10
4171,Mn0.6Ni2.4O10
4172,Mn1.5Ni1.5O10
4173,Mn0.4Ni3.6O5
4174,Mn0.8Ni3.2O5
4175,Mn2.0Ni2.0O5
4176,Mn0.4Ni3.6O7
4177,Mn0.8Ni3.2O7
4178,Mn2.0Ni2.0O7
4179,Mn0.4Ni3.6O9
4180,Mn0.8Ni3.2O9
4181,Mn2.0Ni2.0O9
4182,Mn0.5Ni4.5O6
4183,MnNi4.0O6
4184,Mn2.5Ni2.5O6
4185,Mn0.5Ni4.5O7
4186,MnNi4.0O7
4187,Mn2.5Ni2.5O7
4188,Mn0.5Ni4.5O8
4189,MnNi4.0O8
4190,Mn2.5Ni2.5O8
4191,Mn0.5Ni4.5O9
4192,MnNi4.0O9
4193,Mn2.5Ni2.5O9
4194,Mn0.6Ni5.4O7
4195,Mn1.2Ni4.8O7
4196,Mn3.0Ni3.0O7
4197,Mn0.7Ni6.3O8
4198,Mn1.4Ni5.6O8
4199,Mn3.5Ni3.5O8
4200,Mn0.7Ni6.3O9
4201,Mn1.4Ni5.6O9
4202,Mn3.5Ni3.5O9
4203,Mn0.7Ni6.3O10
4204,Mn1.4Ni5.6O10
4205,Mn3.5Ni3.5O10
4206,Mn0.8Ni7.2O9
4207,Mn1.6Ni6.4O9
4208,Mn4.0Ni4.0O9
4209,Mn0.9Ni8.1O10
4210,Mn1.8Ni7.2O10
4211,Mn4.5Ni4.5O10
4212,Fe0.1Ni0.9O
4213,Fe0.2Ni0.8O
4214,Fe0.5Ni0.5O
4215,Fe0.1Ni0.9O2
4216,Fe0.2Ni0.8O2
4217,Fe0.5Ni0.5O2
4218,Fe0.1Ni0.9O3
4219,Fe0.2Ni0.8O3
4220,Fe0.5Ni0.5O3
4221,Fe0.1Ni0.9O4
4222,Fe0.2Ni0.8O4
4223,Fe0.5Ni0.5O4
4224,Fe0.1Ni0.9O5
4225,Fe0.2Ni0.8O5
4226,Fe0.5Ni0.5O5
4227,Fe0.1Ni0.9O6
4228,Fe0.2Ni0.8O6
4229,Fe0.5Ni0.5O6
4230,Fe0.1Ni0.9O7
4231,Fe0.2Ni0.8O7
4232,Fe0.5Ni0.5O7
4233,Fe0.1Ni0.9O8
4234,Fe0.2Ni0.8O8
4235,Fe0.5Ni0.5O8
4236,Fe0.1Ni0.9O9
4237,Fe0.2Ni0.8O9
4238,Fe0.5Ni0.5O9
4239,Fe0.1Ni0.9O10
4240,Fe0.2Ni0.8O10
4241,Fe0.5Ni0.5O10
4242,Fe0.2Ni1.8O3
4243,Fe0.4Ni1.6O3
4244,FeNiO3
4245,Fe0.2Ni1.8O5
4246,Fe0.4Ni1.6O5
4247,FeNiO5
4248,Fe0.2Ni1.8O7
4249,Fe0.4Ni1.6O7
4250,FeNiO7
4251,Fe0.2Ni1.8O9
4252,Fe0.4Ni1.6O9
4253,FeNiO9
4254,Fe0.3Ni2.7O4
4255,Fe0.6Ni2.4O4
4256,Fe1.5Ni1.5O4
4257,Fe0.3Ni2.7O5
4258,Fe0.6Ni2.4O5
4259,Fe1.5Ni1.5O5
4260,Fe0.3Ni2.7O7
4261,Fe0.6Ni2.4O7
4262,Fe1.5Ni1.5O7
4263,Fe0.3Ni2.7O8
4264,Fe0.6Ni2.4O8
4265,Fe1.5Ni1.5O8
4266,Fe0.3Ni2.7O10
4267,Fe0.6Ni2.4O10
4268,Fe1.5Ni1.5O10
4269,Fe0.4Ni3.6O5
4270,Fe0.8Ni3.2O5
4271,Fe2.0Ni2.0O5
4272,Fe0.4Ni3.6O7
4273,Fe0.8Ni3.2O7
4274,Fe2.0Ni2.0O7
4275,Fe0.4Ni3.6O9
4276,Fe0.8Ni3.2O9
4277,Fe2.0Ni2.0O9
4278,Fe0.5Ni4.5O6
4279,FeNi4.0O6
4280,Fe2.5Ni2.5O6
4281,Fe0.5Ni4.5O7
4282,FeNi4.0O7
4283,Fe2.5Ni2.5O7
4284,Fe0.5Ni4.5O8
4285,FeNi4.0O8
4286,Fe2.5Ni2.5O8
4287,Fe0.5Ni4.5O9
4288,FeNi4.0O9
4289,Fe2.5Ni2.5O9
4290,Fe0.6Ni5.4O7
4291,Fe1.2Ni4.8O7
4292,Fe3.0Ni3.0O7
4293,Fe0.7Ni6.3O8
4294,Fe1.4Ni5.6O8
4295,Fe3.5Ni3.5O8
4296,Fe0.7Ni6.3O9
4297,Fe1.4Ni5.6O9
4298,Fe3.5Ni3.5O9
4299,Fe0.7Ni6.3O10
4300,Fe1.4Ni5.6O10
4301,Fe3.5Ni3.5O10
4302,Fe0.8Ni7.2O9
4303,Fe1.6Ni6.4O9
4304,Fe4.0Ni4.0O9
4305,Fe0.9Ni8.1O10
4306,Fe1.8Ni7.2O10
4307,Fe4.5Ni4.5O10
4308,Co0.1Ni0.9O
4309,Co0.2Ni0.8O
4310,Co0.5Ni0.5O
4311,Co0.1Ni0.9O2
4312,Co0.2Ni0.8O2
4313,Co0.5Ni0.5O2
4314,Co0.1Ni0.9O3
4315,Co0.2Ni0.8O3
4316,Co0.5Ni0.5O3
4317,Co0.1Ni0.9O4
4318,Co0.2Ni0.8O4
4319,Co0.5Ni0.5O4
4320,Co0.1Ni0.9O5
4321,Co0.2Ni0.8O5
4322,Co0.5Ni0.5O5
4323,Co0.1Ni0.9O6
4324,Co0.2Ni0.8O6
4325,Co0.5Ni0.5O6
4326,Co0.1Ni0.9O7
4327,Co0.2Ni0.8O7
4328,Co0.5Ni0.5O7
4329,Co0.1Ni0.9O8
4330,Co0.2Ni0.8O8
4331,Co0.5Ni0.5O8
4332,Co0.1Ni0.9O9
4333,Co0.2Ni0.8O9
4334,Co0.5Ni0.5O9
4335,Co0.1Ni0.9O10
4336,Co0.2Ni0.8O10
4337,Co0.5Ni0.5O10
4338,Co0.2Ni1.8O3
4339,Co0.4Ni1.6O3
4340,CoNiO3
4341,Co0.2Ni1.8O5
4342,Co0.4Ni1.6O5
4343,CoNiO5
4344,Co0.2Ni1.8O7
4345,Co0.4Ni1.6O7
4346,CoNiO7
4347,Co0.2Ni1.8O9
4348,Co0.4Ni1.6O9
4349,CoNiO9
4350,Co0.3Ni2.7O4
4351,Co0.6Ni2.4O4
4352,Co1.5Ni1.5O4
4353,Co0.3Ni2.7O5
4354,Co0.6Ni2.4O5
4355,Co1.5Ni1.5O5
4356,Co0.3Ni2.7O7
4357,Co0.6Ni2.4O7
4358,Co1.5Ni1.5O7
4359,Co0.3Ni2.7O8
4360,Co0.6Ni2.4O8
4361,Co1.5Ni1.5O8
4362,Co0.3Ni2.7O10
4363,Co0.6Ni2.4O10
4364,Co1.5Ni1.5O10
4365,Co0.4Ni3.6O5
4366,Co0.8Ni3.2O5
4367,Co2.0Ni2.0O5
4368,Co0.4Ni3.6O7
4369,Co0.8Ni3.2O7
4370,Co2.0Ni2.0O7
4371,Co0.4Ni3.6O9
4372,Co0.8Ni3.2O9
4373,Co2.0Ni2.0O9
4374,Co0.5Ni4.5O6
4375,CoNi4.0O6
4376,Co2.5Ni2.5O6
4377,Co0.5Ni4.5O7
4378,CoNi4.0O7
4379,Co2.5Ni2.5O7
4380,Co0.5Ni4.5O8
4381,CoNi4.0O8
4382,Co2.5Ni2.5O8
4383,Co0.5Ni4.5O9
4384,CoNi4.0O9
4385,Co2.5Ni2.5O9
4386,Co0.6Ni5.4O7
4387,Co1.2Ni4.8O7
4388,Co3.0Ni3.0O7
4389,Co0.7Ni6.3O8
4390,Co1.4Ni5.6O8
4391,Co3.5Ni3.5O8
4392,Co0.7Ni6.3O9
4393,Co1.4Ni5.6O9
4394,Co3.5Ni3.5O9
4395,Co0.7Ni6.3O10
4396,Co1.4Ni5.6O10
4397,Co3.5Ni3.5O10
4398,Co0.8Ni7.2O9
4399,Co1.6Ni6.4O9
4400,Co4.0Ni4.0O9
4401,Co0.9Ni8.1O10
4402,Co1.8Ni7.2O10
4403,Co4.5Ni4.5O10
4404,Cr0.1Cu0.9O
4405,Cr0.2Cu0.8O
4406,Cr0.5Cu0.5O
4407,Cr0.1Cu0.9O2
4408,Cr0.2Cu0.8O2
4409,Cr0.5Cu0.5O2
4410,Cr0.1Cu0.9O3
4411,Cr0.2Cu0.8O3
4412,Cr0.5Cu0.5O3
4413,Cr0.1Cu0.9O4
4414,Cr0.2Cu0.8O4
4415,Cr0.5Cu0.5O4
4416,Cr0.1Cu0.9O5
4417,Cr0.2Cu0.8O5
4418,Cr0.5Cu0.5O5
4419,Cr0.1Cu0.9O6
4420,Cr0.2Cu0.8O6
4421,Cr0.5Cu0.5O6
4422,Cr0.1Cu0.9O7
4423,Cr0.2Cu0.8O7
4424,Cr0.5Cu0.5O7
4425,Cr0.1Cu0.9O8
4426,Cr0.2Cu0.8O8
4427,Cr0.5Cu0.5O8
4428,Cr0.1Cu0.9O9
4429,Cr0.2Cu0.8O9
4430,Cr0.5Cu0.5O9
4431,Cr0.1Cu0.9O10
4432,Cr0.2Cu0.8O10
4433,Cr0.5Cu0.5O10
4434,Cr0.2Cu1.8O3
4435,Cr0.4Cu1.6O3
4436,CrCuO3
4437,Cr0.2Cu1.8O5
4438,Cr0.4Cu1.6O5
4439,CrCuO5
4440,Cr0.2Cu1.8O7
4441,Cr0.4Cu1.6O7
4442,CrCuO7
4443,Cr0.2Cu1.8O9
4444,Cr0.4Cu1.6O9
4445,CrCuO9
4446,Cr0.3Cu2.7O4
4447,Cr0.6Cu2.4O4
4448,Cr1.5Cu1.5O4
4449,Cr0.3Cu2.7O5
4450,Cr0.6Cu2.4O5
4451,Cr1.5Cu1.5O5
4452,Cr0.3Cu2.7O7
4453,Cr0.6Cu2.4O7
4454,Cr1.5Cu1.5O7
4455,Cr0.3Cu2.7O8
4456,Cr0.6Cu2.4O8
4457,Cr1.5Cu1.5O8
4458,Cr0.3Cu2.7O10
4459,Cr0.6Cu2.4O10
4460,Cr1.5Cu1.5O10
4461,Cr0.4Cu3.6O5
4462,Cr0.8Cu3.2O5
4463,Cr2.0Cu2.0O5
4464,Cr0.4Cu3.6O7
4465,Cr0.8Cu3.2O7
4466,Cr2.0Cu2.0O7
4467,Cr0.4Cu3.6O9
4468,Cr0.8Cu3.2O9
4469,Cr2.0Cu2.0O9
4470,Cr0.5Cu4.5O6
4471,CrCu4.0O6
4472,Cr2.5Cu2.5O6
4473,Cr0.5Cu4.5O7
4474,CrCu4.0O7
4475,Cr2.5Cu2.5O7
4476,Cr0.5Cu4.5O8
