,compound
395,Nb2O5
396,Nb2O7
397,Nb2O9
398,Nb3O4
399,Nb3O5
400,Nb3O7
401,Nb3O8
402,Nb3O10
403,Nb4O5
404,Nb4O7
405,Nb4O9
406,Nb5O6
407,Nb5O7
408,Nb5O8
409,Nb5O9
410,Nb6O7
411,Nb7O8
412,Nb7O9
413,Nb7O10
414,Nb8O9
415,Nb9O10
416,MoO
417,MoO2
418,MoO3
419,MoO4
420,MoO5
421,MoO6
422,MoO7
423,MoO8
424,MoO9
425,MoO10
426,Mo2O3
427,Mo2O5
428,Mo2O7
429,Mo2O9
430,Mo3O4
431,Mo3O5
432,Mo3O7
433,Mo3O8
434,Mo3O10
435,Mo4O5
436,Mo4O7
437,Mo4O9
438,Mo5O6
439,Mo5O7
440,Mo5O8
441,Mo5O9
442,Mo6O7
443,Mo7O8
444,Mo7O9
445,Mo7O10
446,Mo8O9
447,Mo9O10
448,RuO
449,RuO2
450,RuO3
451,RuO4
452,RuO5
453,RuO6
454,RuO7
455,RuO8
456,RuO9
457,RuO10
458,Ru2O3
459,Ru2O5
460,Ru2O7
461,Ru2O9
462,Ru3O4
463,Ru3O5
464,Ru3O7
465,Ru3O8
466,Ru3O10
467,Ru4O5
468,Ru4O7
469,Ru4O9
470,Ru5O6
471,Ru5O7
472,Ru5O8
473,Ru5O9
474,Ru6O7
475,Ru7O8
476,Ru7O9
477,Ru7O10
478,Ru8O9
479,Ru9O10
480,RhO
481,RhO2
482,RhO3
483,RhO4
484,RhO5
485,RhO6
486,RhO7
487,RhO8
488,RhO9
489,RhO10
490,Rh2O3
491,Rh2O5
492,Rh2O7
493,Rh2O9
494,Rh3O4
495,Rh3O5
496,Rh3O7
497,Rh3O8
498,Rh3O10
499,Rh4O5
500,Rh4O7
501,Rh4O9
502,Rh5O6
503,Rh5O7
504,Rh5O8
505,Rh5O9
506,Rh6O7
507,Rh7O8
508,Rh7O9
509,Rh7O10
510,Rh8O9
511,Rh9O10
512,PdO
513,PdO2
514,PdO3
515,PdO4
516,PdO5
517,PdO6
518,PdO7
519,PdO8
520,PdO9
521,PdO10
522,Pd2O3
523,Pd2O5
524,Pd2O7
525,Pd2O9
526,Pd3O4
527,Pd3O5
528,Pd3O7
529,Pd3O8
530,Pd3O10
531,Pd4O5
532,Pd4O7
533,Pd4O9
534,Pd5O6
535,Pd5O7
536,Pd5O8
537,Pd5O9
538,Pd6O7
539,Pd7O8
540,Pd7O9
