train_pred,train_truth
1.6275,1.76
1.3824999999999998,1.38
1.83,1.83
1.605,1.78
0.625,0.69
1.0525,0.88
0.865,0.91
1.5825000000000002,1.54
1.6475,1.66
1.6825,1.79
1.7,1.66
1.1925000000000001,1.04
0.8500000000000001,0.96
1.8575,1.79
1.605,1.64
1.1925,1.2
1.5825,1.89
1.5225,1.45
1.7049999999999998,1.7
1.5499999999999998,1.59
1.69,1.64
1.415,1.48
1.3074999999999999,1.33
1.56,1.54
1.8425000000000002,1.87
1.64,1.66
1.35,1.31
1.7374999999999998,1.64
1.7049999999999998,1.7
1.8675000000000002,1.9
1.5625,1.71
1.8975,1.94
1.3449999999999998,1.4
1.5975000000000001,1.58
1.1975,1.23
1.22,1.2
1.095,1.04
1.5525,1.42
1.9075,1.87
1.45,1.14
1.8525,1.85
1.0525,0.88
1.605,1.55
1.84,1.85
1.3299999999999998,1.19
1.6875,2.07
1.0425,1.25
1.64,1.58
1.415,1.39
1.3575,1.51
1.5074999999999998,1.73
1.2525,1.19
1.2525,1.19
1.28,1.22
1.5975000000000001,1.52
0.865,0.91
1.175,1.12
1.5975000000000001,1.33
1.5625,1.7
1.8975,1.93
1.5975000000000001,1.96
1.2200000000000002,1.29
1.56,1.58
1.56,1.5
1.3875,1.34
1.2925,1.38
1.4700000000000002,1.99
1.1925,1.17
1.6424999999999998,1.69
1.6324999999999998,1.59
0.85,0.74
1.2575,1.81
1.5499999999999998,1.7
0.625,0.56
1.4149999999999998,1.45
1.535,1.63
1.7,1.73
1.6825,1.74
1.6400000000000001,1.64
1.2149999999999999,1.23
1.7025,1.63
1.81,1.8
1.7550000000000001,1.74
1.125,1.17
1.1925000000000001,1.04
1.7550000000000001,1.75
1.8175000000000001,1.82
1.4049999999999998,1.42
1.5499999999999998,1.51
1.62,1.61
0.625,0.56
1.56,1.62
1.7550000000000001,1.74
1.3824999999999998,1.5
1.75,2.18
1.32,1.31
1.4175,1.28
1.125,1.17
1.6775000000000002,1.66
1.7249999999999999,1.78
1.45,1.14
1.3299999999999998,1.19
1.2525,1.43
1.6125,1.61
1.375,1.13
1.4425,1.54
1.83,1.8
1.4425,1.57
1.23,1.17
1.55,1.4
1.32,1.36
1.2799999999999998,1.3
1.6500000000000001,1.54
1.32,1.25
1.32,1.36
1.3825,1.25
1.6199999999999999,1.66
1.8399999999999999,1.82
1.2525,1.17
1.49,1.38
1.2575,1.35
1.215,1.33
1.175,1.12
1.095,1.15
1.7449999999999999,1.72
1.3224999999999998,1.52
0.865,0.82
1.6275,1.57
1.3449999999999998,1.49
1.0425,1.28
1.4149999999999998,1.34
1.6124999999999998,1.64
1.405,1.42
1.6199999999999999,1.57
1.605,1.45
1.6324999999999998,1.67
1.6400000000000001,1.65
1.375,1.13
1.3824999999999998,1.4
1.5625,1.46
0.865,0.82
1.2725,1.26
0.8500000000000001,0.96
1.1025,1.34
1.2525,1.17
1.88,1.83
1.8824999999999998,1.87
1.3625,1.32
0.85,0.74
1.7550000000000001,1.79
1.095,1.15
1.1925,1.17
1.69,1.68
1.6324999999999998,1.5
1.8975,1.89
1.3824999999999998,1.39
1.095,1.04
1.0525,1.28
1.4275,1.47
1.3599999999999999,1.43
1.6275,1.55
1.6575,1.73
1.7049999999999998,1.74
0.625,0.69
1.2925,1.87
1.23,1.17
1.6324999999999998,1.77
1.3625,1.96
1.8400000000000003,1.82
1.6275,1.63
