train_pred,train_truth
1.7330777270253748,1.76
1.4047430015634745,1.38
1.894400275312364,1.83
1.6729523225221783,1.78
0.7689093051012605,0.69
1.0849888739176095,0.88
1.099577475572005,0.91
1.5393397987354547,1.54
1.5835017529316247,1.66
1.6526962623465806,1.79
1.586323409108445,1.66
1.225560594117269,1.04
0.9797695898450911,0.96
1.7334035388194025,1.79
1.6859338853973895,1.64
1.172142967581749,1.2
1.7867583543993533,1.89
1.590978977503255,1.45
1.7136872671544552,1.7
1.6519761404488236,1.59
1.6472288833465427,1.64
1.441248327959329,1.48
1.2611427293159068,1.33
1.5767887092661113,1.54
1.8544491943903267,1.87
1.560805335873738,1.66
1.2875648606568575,1.31
1.6501668456476182,1.64
1.7491274191997945,1.7
1.8885806009639055,1.9
1.5773275806568563,1.71
1.9117988792713732,1.94
1.4682473596185446,1.4
1.5492463728878647,1.58
1.2314063038211316,1.23
1.2801004068460315,1.2
0.9591878214851022,1.04
1.4896328756585717,1.42
1.9516196963377297,1.87
1.2973582441918552,1.14
1.8974297046661377,1.85
1.0849888727534562,0.88
1.6989197640214115,1.55
1.8278366615995765,1.85
1.4430236076004803,1.19
1.7690370227210224,2.07
1.1674484044779092,1.25
1.6401317059062421,1.58
1.2791761837434024,1.39
1.3768515835981816,1.51
1.6393199602607638,1.73
1.24939676374197,1.19
1.2493967632763088,1.19
1.2957482764031738,1.22
1.546542992349714,1.52
1.099577475572005,0.91
1.1666314536705613,1.12
1.5135817457921803,1.33
1.5640488036442548,1.7
1.8852725299075246,1.93
1.6741000222973526,1.96
1.2758534266613424,1.29
1.5416533106472343,1.58
1.485261190449819,1.5
1.3417296069674194,1.34
1.4850923791527748,1.38
1.9828924383036792,1.99
1.076035496313125,1.17
1.5673575727269053,1.69
1.6826060679741204,1.59
0.7220422700047493,0.74
1.527079873951152,1.81
1.6389915344770998,1.7
0.7326507663819939,0.56
1.371579997241497,1.45
1.397866118233651,1.63
1.6171913319267333,1.73
1.7472883041482419,1.74
1.6876392576377839,1.64
1.2324163476005197,1.23
1.67276367591694,1.63
1.8484959828201681,1.8
1.6965685163158923,1.74
0.9935422691050917,1.17
1.225560594117269,1.04
1.736214358592406,1.75
1.834502472076565,1.82
1.3988040862604976,1.42
1.6649651885963976,1.51
1.6195147696416825,1.61
0.7326507663819939,0.56
1.6119698777329177,1.62
1.7716341682244092,1.74
1.3789870429318398,1.5
1.8029616218991578,2.18
1.2696384398732334,1.31
1.5301211855839938,1.28
0.9935422677081078,1.17
1.6418205809313804,1.66
1.7863559739198536,1.78
1.2973582441918552,1.14
1.4430236076004803,1.19
1.157243641326204,1.43
1.584713683463633,1.61
1.1959653929807246,1.13
1.3470777270849794,1.54
1.8309023887850344,1.8
1.507954514818266,1.57
1.2071120038162917,1.17
1.6082722048740834,1.4
1.266614130930975,1.36
1.310796997975558,1.3
1.5607206777203828,1.54
1.2922680673655123,1.25
1.2732469644397497,1.36
1.3480355078354478,1.25
1.5561959843616933,1.66
1.7670333869755268,1.82
1.3229884959291667,1.17
1.5202073568943888,1.38
1.3172567992005497,1.35
1.3118214942514896,1.33
1.1666314536705613,1.12
1.012673200108111,1.15
1.677343365503475,1.72
1.323580666212365,1.52
1.130356652662158,0.82
1.6588267681654543,1.57
1.576045085908845,1.49
1.2269307998940349,1.28
1.4063906935043633,1.34
1.5621807237621397,1.64
1.3817989313974977,1.42
1.5918544244486839,1.57
1.6423044947441667,1.45
1.6548777553252876,1.67
1.652293908642605,1.65
1.1959653929807246,1.13
1.3918626699596643,1.4
1.5507746012881398,1.46
1.130356652662158,0.82
1.2897395801264793,1.26
0.9797695898450911,0.96
1.1743533045519143,1.34
1.3229884954635054,1.17
1.8549141325056553,1.83
1.8245480232872069,1.87
1.1985667489934713,1.32
0.7220422693062574,0.74
1.8070962484925985,1.79
1.012673200108111,1.15
1.076035496313125,1.17
1.677963794209063,1.68
1.6261153740342706,1.5
1.8985336150508374,1.89
1.165885065216571,1.39
0.9591878214851022,1.04
1.0938382060267031,1.28
1.3851878712885082,1.47
1.3372047112789005,1.43
1.6893017194233835,1.55
1.7241780611220747,1.73
1.7846110125537962,1.74
0.7689093051012605,0.69
1.8024220685474575,1.87
1.2071120040491223,1.17
1.6535543950740248,1.77
1.7464447915554047,1.96
1.841140772914514,1.82
1.719769262475893,1.63
