train_pred,train_truth
1.6492905580751955,1.76
1.3871836025923932,1.38
1.8047128777036403,1.83
1.738899665436804,1.78
0.7737253729715505,0.69
1.1220406295312264,0.88
1.2727760394270284,0.91
1.4899955300465044,1.54
1.4820874638868569,1.66
1.8252657624848942,1.79
1.735382514422867,1.66
1.2447341217194074,1.04
1.0060696397829842,0.96
1.732498882297372,1.79
1.7470818722968702,1.64
1.2281206143739456,1.2
1.6770382148167058,1.89
1.4208578907802587,1.45
1.7216712076549605,1.7
1.624388380108689,1.59
1.6780783334868516,1.64
1.4026839722508135,1.48
1.2922439849963263,1.33
1.500830843858797,1.54
1.7801662571234431,1.87
1.5065798434903086,1.66
1.2731450476380788,1.31
1.5798787781085317,1.64
1.7462178282351593,1.7
1.8719643775354553,1.9
1.5347792727470808,1.71
1.9028597493116244,1.94
1.3630834557809448,1.4
1.4789817230044058,1.58
1.2704475479122728,1.23
1.3649220761799432,1.2
0.8657454921126864,1.04
1.4568162777093003,1.42
1.9274063698918213,1.87
1.49012110609577,1.14
1.8501679404514004,1.85
1.1220406295312264,0.88
1.7552640791569367,1.55
1.7638018434033103,1.85
1.4775434354394266,1.19
1.698028241849283,2.07
1.3271091417166583,1.25
1.608940694220605,1.58
1.2611928591139463,1.39
1.4366324011390965,1.51
1.5204265726903663,1.73
1.334122785521119,1.19
1.334122785521119,1.19
1.316790605576525,1.22
1.4862472020324238,1.52
1.2727760394270284,0.91
1.1832617995760515,1.12
1.4627133904016185,1.33
1.5265970658870143,1.7
1.8864953355914913,1.93
1.5753347496611019,1.96
1.2446085456701421,1.29
1.4762842232785982,1.58
1.4326913491104893,1.5
1.3317942940063634,1.34
1.3741501163475278,1.38
1.8487216870990855,1.99
1.191312566717491,1.17
1.4871118979210096,1.69
1.877957571345118,1.59
0.883376147594803,0.74
1.481710316555676,1.81
1.6162061732486228,1.7
0.7583886864480278,0.56
1.353590731090417,1.45
1.3644184057328284,1.63
1.5593258933272778,1.73
1.6047809560750381,1.74
1.623524336046978,1.64
1.2526593128115817,1.23
1.7316341864087863,1.63
1.7274744482632194,1.8
1.8225682627590882,1.74
1.0461629253810993,1.17
1.2447341217194074,1.04
1.8443646998431418,1.75
1.7492708853472743,1.82
1.3344917937321694,1.42
1.6325705869687555,1.51
1.5771812783827257,1.61
0.7583886864480278,0.56
1.5253774644389948,1.62
1.8689113204233405,1.74
1.3708191888722605,1.5
1.8207217340374642,2.18
1.302206963750152,1.31
1.5543447226285245,1.28
1.0461629253810993,1.17
1.6016752151925868,1.66
1.682019385515459,1.78
1.49012110609577,1.14
1.4775434354394266,1.19
1.241724913544647,1.43
1.6126890222346857,1.61
1.1215680158625287,1.13
1.3593939716986756,1.54
1.7565363643752927,1.8
1.4526412574729206,1.57
1.2486511108282174,1.17
1.5854068825897996,1.4
1.3094724427781699,1.36
1.3957213668387665,1.3
1.4571852859203505,1.54
1.3258368564983025,1.25
1.2949414847221339,1.36
1.3400198982134373,1.25
1.5111493799989302,1.66
1.7022032620856629,1.82
1.236817652497987,1.17
1.4876155683681245,1.38
1.309997856922308,1.35
1.1356263602498673,1.33
1.1832617995760515,1.12
0.8964188651597317,1.15
1.702572270296713,1.72
1.3811904087827305,1.52
1.3035753300858526,0.82
1.5795097698974816,1.57
1.4244302018750354,1.49
1.3752856550450059,1.28
1.3781373516706157,1.34
1.5038839009709117,1.64
1.3635537098442427,1.42
1.5553848412986704,1.57
1.7081003747779808,1.45
1.8543276785969676,1.67
1.5989777154667792,1.65
1.1215680158625287,1.13
1.3790013957323266,1.4
1.5184148590269477,1.46
1.3035753300858526,0.82
1.277198011249218,1.26
1.0060696397829842,0.96
1.3198436626886398,1.34
1.236817652497987,1.17
1.855696044932668,1.83
1.824896754273844,1.87
1.298047225604585,1.32
0.883376147594803,0.74
1.8934579410035384,1.79
0.8964188651597317,1.15
1.191312566717491,1.17
1.699874770570907,1.68
1.830793866966162,1.5
1.8946775424515578,1.89
1.260329004443736,1.39
0.8657454921126864,1.04
1.10750967147519,1.28
1.3562882308162245,1.47
1.4120857805588996,1.43
1.6103090605563057,1.55
1.6338428721871114,1.73
1.770764448815357,1.74
0.7737253729715505,0.69
1.7422305929120716,1.87
1.2486511108282174,1.17
1.8470621995689493,1.77
1.581773318784457,1.96
1.7719840502633768,1.82
1.641108351215129,1.63
