train_pred,train_truth
1.6913129807177523,1.76
1.2998100930296261,1.38
1.764919648412545,1.83
1.6703915454174516,1.78
1.0790700070835568,0.69
1.2893567857193666,0.88
1.1929614836228997,0.91
1.63381483911887,1.54
1.5259226618246502,1.66
1.6759230464966164,1.79
1.7608533917387412,1.66
1.4347469885626603,1.04
1.0602118289873244,0.96
1.8206664096349732,1.79
1.6694980822521144,1.64
1.1093542614138712,1.2
1.5410074679271832,1.89
1.4714164099389193,1.45
1.6968015415830389,1.7
1.6112676036940616,1.59
1.7271403635992695,1.64
1.3631294501473132,1.48
1.286559330197904,1.33
1.5185266515198328,1.54
1.7679411064711026,1.87
1.634155291733536,1.66
1.2195593500534248,1.31
1.5721980032197704,1.64
1.6988495605333003,1.7
1.806247904487797,1.9
1.5469242091067548,1.71
1.8238330687873097,1.94
1.2998295294308573,1.4
1.4918059195235798,1.58
1.2790238428098077,1.23
1.319194958902603,1.2
1.2569719126263692,1.04
1.546331708925522,1.42
1.8211307072932381,1.87
1.5725657246912836,1.14
1.773396954612975,1.85
1.2893567857193666,0.88
1.6686000644643266,1.55
1.7699247561115914,1.85
1.3212793090839532,1.19
1.604807887025649,2.07
1.1970059208117176,1.25
1.6044449269257357,1.58
1.3626871006807515,1.39
1.3202840222307335,1.51
1.1535868725454113,1.73
1.3190369321293942,1.19
1.3190369321293942,1.19
1.286192473873717,1.22
1.494471681770722,1.52
1.1929614836228997,0.91
1.2185311403234236,1.12
1.4966494406813968,1.33
1.5473067642296348,1.7
1.825601724429148,1.93
1.4947869706308121,1.96
1.3166836325034024,1.29
1.5169261112966186,1.58
1.5355250543504662,1.5
1.3628363707582964,1.34
1.4799727705409431,1.38
1.8896563174725922,1.99
1.0707831911972867,1.17
1.686863042707264,1.69
1.7213113711175985,1.59
0.9843172041665992,0.74
1.480030155132757,1.81
1.6119684180561957,1.7
1.0526418809838967,0.56
1.3623476867256268,1.45
1.5443190902925195,1.63
1.5457665059272006,1.73
1.6445216224970314,1.74
1.632735352287392,1.64
1.139518860094152,1.23
1.6609103679449997,1.63
1.712711944977121,1.8
1.7598326598135592,1.74
1.2177110144421566,1.17
1.4347469885626603,1.04
1.7423963562742144,1.75
1.748368125021361,1.82
1.3190553482571317,1.42
1.6105633124676326,1.51
1.6493297902795332,1.61
1.0526418809838967,0.56
1.5200717366260532,1.62
1.744205653855629,1.74
1.2991408481096642,1.5
1.6612572533498589,2.18
1.190878393822961,1.31
1.289761558277407,1.28
1.2177110144421566,1.17
1.596669374895897,1.66
1.6879557717990346,1.78
1.5725657246912836,1.14
1.3212793090839532,1.19
1.318637246649843,1.43
1.7076251387612882,1.61
1.2300717853049714,1.13
1.331047362038185,1.54
1.7594030219218162,1.8
1.3026220668562858,1.57
1.2677892799933221,1.17
1.6110810728586342,1.4
1.1851464731263799,1.36
1.319365308191494,1.3
1.4838794361296448,1.54
1.1862867806776805,1.25
1.1972220782085454,1.36
1.299178833433721,1.25
1.5434430964771657,1.66
1.7676617362144118,1.82
1.265143623150787,1.17
1.5470083179411356,1.38
1.3581463131573441,1.35
1.229843898807939,1.33
1.2185311403234236,1.12
1.3176134745505657,1.15
1.6197948298899145,1.72
1.3229850051439578,1.52
1.1928831719832407,0.82
1.6900413585118805,1.57
1.3901278402380353,1.49
1.1949700308381186,1.28
1.3627552332042934,1.34
1.5391260752437104,1.64
1.3023859226609824,1.42
1.6594614761811723,1.57
1.6693773621186703,1.45
1.7142911463839217,1.67
1.6306517075937905,1.65
1.2300717853049714,1.13
1.2994737507484222,1.4
1.547687619247021,1.46
1.1928831719832407,0.82
1.1724985712349363,1.26
1.0602118289873244,0.96
1.201798884217874,1.34
1.265143623150787,1.17
1.8246354335220765,1.83
1.8236586414015221,1.87
1.2195395465130883,1.32
0.9843172041665992,0.74
1.7459616022278177,1.79
1.3176134745505657,1.15
1.0707831911972867,1.17
1.715905544262255,1.68
1.7220520875170604,1.5
1.8247207169145392,1.89
1.3229699700044506,1.39
1.2569719126263692,1.04
1.2971034219011626,1.28
1.3060219600711216,1.47
1.319723493095315,1.43
1.6910929655004947,1.55
1.6832614788039104,1.73
1.7008339059398478,1.74
1.0790700070835568,0.69
1.7702412867940085,1.87
1.2677892799933221,1.17
1.705218379619285,1.77
1.2519067355655835,1.96
1.76893602927387,1.82
1.6921404190368021,1.63
