train_pred,train_truth
1.2568869470105053,1.25
1.5229284195131827,1.81
1.4815971142641022,1.38
1.6252301795249757,1.76
1.0483873768742509,0.74
1.3293390593612557,1.19
1.2796393801192705,1.98
1.9164811744774153,1.93
1.2635938797883302,0.82
1.6749546493679364,1.99
1.479894689874461,1.7
1.3345592002239461,1.51
1.0483873768742509,0.74
1.323970167796169,1.52
1.4525520853279028,1.66
1.2624714710500988,1.09
1.290463023558607,0.88
1.6246501638735658,1.8
1.905312126398228,1.9
1.7653455283128001,2.18
1.9159011588260053,1.89
1.2635938797883302,0.82
1.2647162885265613,0.91
1.9176035832156466,1.83
1.8606359340814786,1.58
1.9135810962203652,1.87
1.2066262306541622,1.17
1.3586198245312755,1.69
1.1937228665247657,0.96
1.2066262306541622,1.17
1.3295546918357626,1.55
1.3165074356191484,1.15
1.3407512595665123,1.43
1.6258101951763857,1.63
1.2595713927930485,1.28
1.7705656691754905,1.82
1.0770791762500764,1.2
1.4746745490117705,1.96
1.4357985132091218,1.04
1.3339791845725362,1.43
1.569964954780449,1.46
1.2369482148656428,1.4
1.479314674223051,1.71
1.3351392158753563,1.3
2.065735804427854,1.87
1.626932603914617,1.55
1.4804747055258711,1.46
1.4357985132091218,1.04
1.307216595677388,1.54
1.2345488508521305,1.32
1.6200100386622853,2.07
1.1625212945861851,1.13
1.3165074356191484,1.15
1.7599766367477132,1.82
1.2792939754794197,1.3
1.9220932181685715,1.79
1.2618914553986889,1.29
1.9187259919538777,1.87
1.2066262306541622,1.17
1.773390502303363,1.82
1.2792939754794197,1.28
1.1937228665247657,0.96
1.6229101169193356,1.78
1.1530050097623192,0.56
1.4693056574466836,1.64
1.3293390593612557,1.57
1.631422238867542,1.69
1.3373840333518188,1.19
1.4246294651299345,1.45
1.2801735632065196,1.28
1.3373840333518188,1.19
1.7711456848269007,1.85
1.486086749217027,1.63
1.0480120783199736,1.19
1.9108966504378218,1.87
1.1625212945861851,1.13
1.4827195230023333,1.42
1.4246294651299345,1.38
1.290463023558607,0.88
1.3293390593612557,1.19
1.1530050097623192,0.56
1.62972933547631,1.38
1.7264694925101511,1.14
1.7682456065698502,1.83
1.4775746272688208,1.73
1.2069716352940132,1.96
2.356406783728884,2.54
1.0457486136929508,1.33
1.7264694925101511,1.14
1.6146411470971986,1.74
1.2066262306541622,1.17
1.0480120783199736,1.19
1.1352133721102824,1.26
1.2624714710500988,1.09
1.1642804700403853,1.3
1.6202256711367922,1.73
1.1343038904687557,1.73
1.7699856535240803,1.87
1.2132843348807607,1.4
1.2647162885265613,0.91
1.765561160787307,1.8
